ANG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
568001;Head of State;Ilidio Machado;1936;1964;1999;LWR;Die-hard Reformer;High;ANG_ilidio_machado;x
568002;Head of State;Óscar Bento Ribas;1936;1964;1999;LWR;Benevolent Gentleman;High;ANG_oscar_bento_ribas;x
568003;Head of State;Simão Gonçalves Toko;1936;1964;1999;SD;Popular Figurehead;High;ANG_simao_toko;x
568004;Head of State;Lemba Diamakungo;1936;1964;1999;LE;Barking Buffoon;High;unknown;x
568005;Head of Government;Óscar Bento Ribas;1936;1964;1999;LWR;Naive Optimist;High;ANG_oscar_bento_ribas;x
568006;Head of Government;Ilidio Machado;1936;1964;1999;LWR;Silent Workhorse;High;ANG_ilidio_machado;x
568007;Head of Government;Victor Buhr;1936;1964;1999;ML;Happy Amateur;High;M568013;x
568008;Foreign Minister;Agenor Miranda;1936;1964;1999;SD;Great Compromiser;High;ANG_agenor_miranda;x
568009;Foreign Minister;Simão Gonçalves Toko;1936;1964;1999;SD;Ideological Crusader;High;ANG_simao_toko;x
568010;Foreign Minister;Manuel Tuluma;1936;1964;1999;LWR;The Cloak N Dagger Schemer;High;M568016;x
568011;Foreign Minister;Ilidio Machado;1936;1964;1999;LWR;Great Compromiser;High;ANG_ilidio_machado;x
568012;Foreign Minister;Óscar Bento Ribas;1936;1964;1999;LWR;Biased Intellectual;High;ANG_oscar_bento_ribas;x
568013;Minister of Armament;Fernando Cunha e Costa;1936;1964;1999;ML;Military Entrepreneur;Medium;M568017;x
568014;Minister of Armament;Henrique Galvão;1936;1964;1999;LWR;Military Entrepreneur;Medium;ANG_henrique_galvao;x
568015;Minister of Armament;Bento de Jesus Caraça;1936;1964;1999;LE;Theoretical Scientist;Medium;ANG_bento_caraca;x
568016;Minister of Armament;António Aniceto Monteiro;1936;1964;1999;LWR;Administrative Genius;Medium;ANG_antonio_aniceto_monteiro;x
568017;Minister of Security;António Aniceto Monteiro;1936;1964;1999;LWR;Silent Lawyer;Medium;ANG_antonio_aniceto_monteiro;x
568018;Minister of Security;Euclides da Costa Bravo;1936;1964;1999;LWR;Compassionate Gentleman;Medium;M568021;x
568019;Minister of Security;Henrique Galvão;1936;1964;1999;LWR;Man of the People;Medium;ANG_henrique_galvao;x
568020;Minister of Security;Paulo Cordeiro;1936;1964;1999;PA;Man of the People;Medium;M568005;x
568021;Head of Military Intelligence;Fernando Ferreira Mello;1936;1964;1999;PA;Dismal Enigma;Medium;M568006;x
568022;Head of Military Intelligence;Bento de Jesus Caraça;1936;1964;1999;LE;Technical Specialist;Medium;ANG_bento_caraca;x
568023;Chief of Staff;Julio Goncalves de Campos;1936;1964;1999;LWR;School of Mass Combat;Medium;M568026;x
568024;Chief of Staff;Henrique Galvão;1936;1964;1999;LWR;school of defence;Medium;ANG_henrique_galvao;x
