SPR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
11001;Head of State;Niceto Alcalá-Zamora;1936;1964;1999;SC;Weary Stiffneck;High;M11001;x
11002;Head of Government;Manuel Portela Valladares;1936;1964;1999;SC;Naive Optimist;High;M11002;x
11003;Foreign Minister;Joaquín Urzaiz Cadaval;1936;1964;1999;ML;Apologetic Clerk;Low;M11003;x
11004;Minister of Armament;José Mendizábal y Bonilla;1936;1964;1999;SC;Infantry Proponent;Medium;M11004;x
11005;Minister of Security;Manuel Portela Valladares;1936;1964;1999;SC;Silent Lawyer;High;M11002;x
11006;Head of Military Intelligence;Juan Hernández Sarabia;1936;1964;1999;ML;Technical Specialist;Medium;M11006;x
11007;Chief of Staff;José Miaja Menant;1936;1964;1999;SC;School of Mass Combat;Medium;M11007;x
11008;Chief of Army;Nicolás Molero Lobo;1936;1964;1999;SC;Static Defence Doctrine;Very High;M11008;x
11009;Chief of Navy;Antonio Azarola Gresillón;1936;1964;1999;SL;Indirect Approach Doctrine;High;M11009;x
11010;Chief of Air Force;Miguel Nuñez de Prado;1936;1964;1999;SL;Naval Aviation Doctrine;Medium;M11010;x
11033;Head of State;Manuel Azaña Díaz;1936;1964;1999;SL;Pig-headed Isolationist;High;M11033;x
11034;Head of State;Augusto Barcia Trelles;1936;1964;1999;SD;Insignificant Layman;High;M11034;x
11038;Head of State;Álvaro de Albornoz Liminiana;1938;1964;1999;LWR;Powerhungry Demagogue;High;M11038;x
11039;Head of State;Francisco Largo Caballero;1938;1964;1999;SD;Barking Buffoon;High;M11039;x
11040;Head of State;Comité Central de la CNT-FAI;1936;1964;1999;LE;Insignificant Layman;High;M11040;x
11041;Head of State;Diego Martínez Barrio;1939;1964;1999;SD;Benevolent Gentleman;High;M11041;x
11042;Head of State;José Díaz Ramos;1939;1964;1999;ST;Barking Buffoon;High;M11021;x
11044;Head of State;Julián Besteiro Fernández;1945;1964;1999;LWR;Insignificant Layman;High;M11044;x
11046;Head of State;Juan Negrín López;1936;1964;1999;LWR;Die-hard Reformer;High;M11046;x
11049;Head of State;Dolores Ibáurri Gómez;1942;1964;1999;ST;Ruthless Powermonger;High;M11049;x
11051;Head of State;Alejandro Lerroux García;1942;1964;1999;SD;Insignificant Layman;High;M11051;x
11053;Head of State;Juan III;1944;1964;1999;SC;Benevolent Gentleman;High;M11011;x
11055;Head of State;Juan III;1936;1964;1999;PA;Benevolent Gentleman;High;M11011;x
11058;Head of Government;José Díaz Ramos;1936;1964;1999;ST;Ambitious Union Boss;High;M11021;x
11059;Head of Government;Santiago Carrillo Solares;1942;1964;1999;ST;Political Protege;High;M11059;x
11060;Head of Government;Juan Negrín López;1937;1964;1999;LWR;Naive Optimist;High;M11060;x
11061;Head of Government;Joaquín Ascaso Budriá;1938;1964;1999;LE;Happy Amateur;High;M11061;x
11062;Head of Government;Francisco Largo Caballero;1936;1964;1999;LWR;Smiling Oilman;High;M11039;x
11063;Head of Government;Luis Jiménez de Asúa;1939;1964;1999;LWR;Ambitious Union Boss;High;M11063;x
11064;Head of Government;Manuel Azaña Díaz;1938;1964;1999;SD;Silent Workhorse;High;M11033;x
11065;Head of Government;Indalencio Prieto Tuero;1939;1964;1999;SD;Political Protege;High;M11065;x
11066;Head of Government;Santiago Casares Quiroga;1936;1964;1999;SD;Corporate Suit;High;M11066;x
11067;Head of Government;José Giral Pereira;1936;1964;1999;SD;Naive Optimist;High;M11067;x
11068;Head of Government;Manuel Portela Valladares;1936;1964;1999;SL;Naive Optimist;High;M11002;x
11069;Head of Government;Diego Martínez Barrio;1944;1964;1999;SL;Backroom Backstabber;High;M11069;x
11071;Head of Government;José María Gil-Robles Quiñones;1936;1964;1999;SC;Political Protege;High;M11012;x
11072;Head of Government;Claudio Sánchez Albornoz;1939;1964;1999;SC;Smiling Oilman;High;M11072;x
11073;Head of Government;Miguel Maura Gamazo;1942;1964;1999;SC;Corporate Suit;High;M11073;x
11074;Head of Government;José María Gil-Robles Quiñones;1936;1964;1999;PA;Flamboyant Tough Guy;NA;M11012;x
11075;Foreign Minister;Jesús Hernández y Tomás;1936;1964;1999;ST;Ideological Crusader;High;M11023;x
11076;Foreign Minister;Dolores Ibáurri Gómez;1937;1964;1999;ST;Iron Fisted Brute;High;M11049;x
11077;Foreign Minister;Margarita Nelken;1939;1964;1999;ST;Biased Intellectual;Medium;M11077;x
11078;Foreign Minister;Julio Álvarez del Vayo;1940;1964;1999;ST;Ideological Crusader;High;M11078;x
11079;Foreign Minister;Santiago Carrillo Solares;1944;1964;1999;ST;The Cloak N Dagger Schemer;Very High;M11059;x
11080;Foreign Minister;Andreu Nin i Pérez;1936;1964;1999;LE;The Cloak N Dagger Schemer;High;M11080;x
11081;Foreign Minister;Joaquin Maurín Juliá;1937;1964;1999;LE;Ideological Crusader;High;M11081;x
11082;Foreign Minister;Eduardo de Guzmán;1938;1964;1999;LE;Great Compromiser;High;M11082;x
11083;Foreign Minister;José Peirats;1939;1964;1999;LE;Apologetic Clerk;High;M11083;x
11084;Foreign Minister;Diego Abad de Santillán;1940;1964;1999;LE;Biased Intellectual;High;M11084;x
11085;Foreign Minister;Fernando de los Ríos Urruti;1936;1964;1999;LWR;The Cloak N Dagger Schemer;High;M11085;x
11086;Foreign Minister;Victoria Kent;1938;1964;1999;LWR;Great Compromiser;High;M11086;x
11087;Foreign Minister;Julián Besteiro Fernández;1939;1964;1999;LWR;Apologetic Clerk;High;M11044;x
11088;Foreign Minister;Alvaro de Albornoz Liminiana;1940;1964;1999;LWR;Biased Intellectual;Medium;M11045;x
11089;Foreign Minister;Julio Álvarez del Vayo;1938;1964;1999;LWR;Ideological Crusader;High;M11078;x
11090;Foreign Minister;Manuel Azaña Díaz;1936;1964;1999;SD;Iron Fisted Brute;High;M11090;x
11091;Foreign Minister;Lluis Companys i Jover;1937;1964;1999;SD;Iron Fisted Brute;High;M11091;x
11092;Foreign Minister;José Giral Pereira;1937;1964;1999;SD;Biased Intellectual;High;M11092;x
11093;Foreign Minister;Sebastián Pozas Perea;1939;1964;1999;SD;General Staffer;High;M11093;x
11094;Foreign Minister;Santiago Casares Quiroga;1939;1964;1999;SD;Apologetic Clerk;High;M11066;x
11095;Foreign Minister;Bibiano Fernández Ossorio;1940;1964;1999;SD;Great Compromiser;High;M11095;x
11096;Foreign Minister;Augusto Barcia Trelles;1936;1964;1999;SD;Ideological Crusader;High;M11034;x
11099;Foreign Minister;Diego Martínez Barrio;1936;1964;1999;SL;The Cloak N Dagger Schemer;High;M11069;x
11101;Foreign Minister;Diego Hidalgo Dúran;1939;1964;1999;SL;General Staffer;High;M11101;x
11102;Foreign Minister;Salvador de Madariaga;1940;1964;1999;SL;Great Compromiser;Medium;M11102;x
