BUL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
19002;Head of Government;Georgi Kioseivanov;1936;1964;1999;PA;Backroom Backstabber;High;KRGeorgi;X
19003;Foreign Minister;Georgi Kioseivanov;1936;1964;1999;PA;Biased Intellectual;High;KRGeorgi;X
19004;Minister of Armament;Kiril Gounev;1936;1964;1999;PA;Administrative Genius;Medium;M19004;X
19005;Minister of Security;Georgi Sapov;1936;1964;1999;PA;Crime Fighter;Low;M19005;X
19006;Head of Military Intelligence;Dimitar Peshev;1936;1964;1999;PA;Dismal Enigma;Medium;M19006;X
19007;Chief of Staff;Hristo Lukov;1936;1964;1999;PA;School of Defence;Low;M19007;X
19008;Chief of Army;Todor Georgiev;1936;1964;1999;PA;Static Defence Doctrine;Medium;M19008;X
19009;Chief of Navy;Sava Ivanov;1936;1964;1999;PA;Open Seas Doctrine;Medium;M19009;X
19010;Chief of Air Force;Vasil Boydev;1936;1964;1999;PA;Air Superiority Doctrine;Medium;M19010;X
19042;Head of State;Kiril de Preslav;1943;1964;1999;FA;Stern Imperialist;High;M19042;X
19043;Head of State;S.T.V. Boris III;1936;1964;1999;FA;Tsar Unifier;High;KRBoris;X
19044;Head of State;Aleksandur Tsankov;1943;1964;1999;NS;Barking Buffoon;High;M19021;X
19045;Head of State;S.T.V. Boris III;1936;1964;1999;ML;Tsar Unifier;High;KRBoris;X
19046;Head of State;Kiril de Preslav;1943;1964;1999;ML;Stern Imperialist;High;M19042;X
19047;Head of State;Nikola Petkov;1945;1964;1999;SC;Die-hard Reformer;High;M19047;X
19048;Head of State;Kiril de Preslav;1944;1964;1999;SD;Stern Imperialist;High;M19042;X
19050;Head of State;Georgi Dimitrov;1936;1964;1999;ST;Powerhungry Demagogue;High;M19032;X
19051;Head of State;Vasil Kolarov;1945;1964;1999;ST;Weary Stiffneck;High;M19031;X
19052;Head of Government;Bogdan Filov;1936;1964;1999;PA;Political Protege;High;KRFilov;X
19053;Head of Government;Dobri Bojilov;1943;1964;1999;PA;Corporate Suit;High;M19053;X
19054;Head of Government;Ivan Bagrianov;1944;1964;1999;PA;Old General;High;M19054;X
19055;Head of Government;Aleksander Tsankov;1936;1964;1999;NS;Backroom Backstabber;High;M19021;X
19056;Head of Government;Petur Gabrovski;1943;1964;1999;PA;Naive Optimist;High;M19022;X
19057;Head of Government;Konstantin Muraviev;1939;1964;1999;ML;Happy Amateur;High;M19012;X
19058;Head of Government;Nikola Petkov;1936;1964;1999;SC;Flamboyant Tough Guy;High;M19047;X
19059;Head of Government;Kimon Georgiev;1944;1964;1999;LWR;Naive Optimist;High;M19059;X
19060;Head of Government;Georgi Dimitrov;1936;1964;1999;ST;Political Protege;High;M19032;X
19061;Foreign Minister;Ivan Popov;1939;1964;1999;PA;Biased Intellectual;Medium;M19061;X
19062;Foreign Minister;Aleksander Nikolaiev;1939;1964;1999;PA;Ideological Crusader;Medium;M19062;X
19063;Foreign Minister;Bogdan Filov;1936;1964;1999;PA;Biased Intellectual;Medium;KRFilov;X
19064;Foreign Minister;Dimitar Shishmanov;1943;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M19064;X
19065;Foreign Minister;Ivan Bagrianov;1944;1964;1999;PA;Iron Fisted Brute;Medium;M19054;X
19066;Foreign Minister;Pyrvan Draganov;1944;1964;1999;FA;General Staffer;Medium;M19066;X
19067;Foreign Minister;Aleksandur Tsankov;1939;1964;1999;FA;Ideological Crusader;Medium;M19021;X
19068;Foreign Minister;Atanas Burov;1939;1964;1999;SC;Great Compromiser;Low;M19068;X
19069;Foreign Minister;Georgi Brasov;1943;1964;1999;SC;Biased Intellectual;Low;M19069;X
19070;Foreign Minister;Konstantin Muraviev;1944;1964;1999;SC;Apologetic Clerk;Medium;M19012;X
19071;Foreign Minister;Nikola Petkov;1945;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M19047;X
19072;Foreign Minister;Petko Stainov;1944;1964;1999;LWR;Biased Intellectual;Medium;M19072;X
19073;Foreign Minister;Georgi Kulichev;1945;1964;1999;LWR;The Cloak N Dagger Schemer;Very High;M19073;X
19074;Foreign Minister;Vasil Kolarov;1939;1964;1999;ST;Ideological Crusader;High;M19031;X
19075;Foreign Minister;Georgi Damianov;1944;1964;1999;ST;Iron Fisted Brute;Very High;M19075;X
19076;Foreign Minister;Kimon Georgiev;1945;1964;1999;LE;General Staffer;Medium;M19059;X
19077;Minister of Armament;Dobri Bojilov;1938;1964;1999;PA;Infantry Proponent;Medium;M19053;X
19078;Minister of Armament;Georgi Sapov;1939;1964;1999;PA;Corrupt Kleptocrat;Low;M19005;X
19079;Minister of Armament;Sava Kirov;1941;1964;1999;PA;Laissez-Faire Capitalist;Low;M19079;X
19080;Minister of Armament;Stanko Nikoladorov;1944;1964;1999;PA;Corrupt Kleptocrat;Low;M19080;X
19081;Minister of Armament;Bogdan Filov;1939;1964;1999;FA;Infantry Proponent;Medium;KRFilov;X
19082;Minister of Armament;Aleksandar Gerginov;1939;1964;1999;SC;Resource Industrialist;Medium;M19014;X
19083;Minister of Armament;Atanas Burov;1943;1964;1999;SC;Laissez-Faire Capitalist;Low;M19083;X
19084;Minister of Armament;Dimitar Savov;1944;1964;1999;SC;Tank Proponent;Low;M19084;X
19085;Minister of Armament;Ivan Gaidimitriv;1945;1964;1999;SC;Strategic Air Proponent;Low;M19085;X
19086;Minister of Armament;Petko Stoyanov;1944;1964;1999;LWR;Theoretical Scientist;Low;M19086;X
19087;Minister of Armament;Stancho Cholakov;1945;1964;1999;LWR;Administrative Genius;Medium;M19087;X
19088;Minister of Armament;Georgi Dimitrov;1939;1964;1999;ST;Military Entrepreneur;Medium;M19032;X
19089;Minister of Armament;Ivan Stefanov;1944;1964;1999;LE;Battle Fleet Proponent;Low;M19034;X
19090;Minister of Armament;Petko Kounin;1945;1964;1999;ST;Air to Ground Proponent;High;M19090;X
19091;Minister of Security;Ivan Krasnovski;1937;1964;1999;PA;Efficient Sociopath;Medium;M19091;X
19092;Minister of Security;Nikolay Nikolaev;1938;1964;1999;PA;Crime Fighter;Medium;M19092;X
19093;Minister of Security;Nikola Nedev;1939;1964;1999;PA;Silent Lawyer;Medium;M19093;X
19094;Minister of Security;Docho Hristov;1943;1964;1999;PA;Crooked Kleptocrat;Medium;M19094;X
19095;Minister of Security;Aleksandyr Stanishev;1944;1964;1999;PA;Prince of Terror;Medium;M19095;X
19096;Minister of Security;Dimitar Peshev;1939;1964;1999;FA;Compassionate Gentleman;Low;M19006;X
19097;Minister of Security;Petur Gabrovski;1944;1964;1999;FA;Back Stabber;Low;M19022;X
19098;Minister of Security;Aleksandar Gerginov;1939;1964;1999;SC;Silent Lawyer;Medium;M19014;X
19099;Minister of Security;Rajcho Pekimov;1943;1964;1999;SC;Efficient Sociopath;Medium;M19099;X
19100;Minister of Security;Vergil Dimov;1944;1964;1999;SC;Man of the People;Medium;M19100;X
19101;Minister of Security;Nikola Mushanov;1945;1964;1999;SC;Compassionate Gentleman;High;M19015;X
19102;Minister of Security;Georgi Kulichev;1944;1964;1999;LWR;Crime Fighter;Very High;M19073;X
19103;Minister of Security;Vulko Chervenkov;1939;1964;1999;ST;Prince of Terror;High;M19103;X
19104;Minister of Security;Anton Yugov;1944;1964;1999;ST;Prince of Terror;High;M19035;X
19105;Head of Military Intelligence;Kiril Gounev;1939;1964;1999;PA;Naval Intelligence Specialist;Medium;M19004;X
19106;Head of Military Intelligence;Stefan Noikov;1943;1964;1999;PA;Political Specialist;Low;M19106;X
19107;Head of Military Intelligence;Sava Kirov;1944;1964;1999;PA;Industrial Specialist;Low;M19079;X
19108;Head of Military Intelligence;Kiril Stanchev;1939;1964;1999;FA;Dismal Enigma;Medium;M19026;X
19109;Head of Military Intelligence;Ivan Rogosarski;1944;1964;1999;NS;Logistics Specialist;Medium;M19109;X
19110;Head of Military Intelligence;Boris Botan;1939;1964;1999;SC;Naval Intelligence Specialist;Medium;M19110;X
19111;Head of Military Intelligence;Atanas Burov;1938;1964;1999;SC;Industrial Specialist;Medium;M19016;X
19112;Head of Military Intelligence;Georgi Kulichev;1944;1964;1999;LWR;Naval Intelligence Specialist;Very High;M19073;X
19113;Head of Military Intelligence;Traicho Kostov;1939;1964;1999;ST;Logistics Specialist;Medium;M19036;X
19114;Head of Military Intelligence;Mincho Neychev;1945;1964;1999;ST;Political Specialist;Medium;M19114;X
19115;Chief of Staff;Teodosi Daskalov;1939;1964;1999;PA;School of Defence;Medium;M19115;X
19116;Chief of Staff;Nikola Mihov;1942;1964;1999;PA;School of Fire Support;Medium;M19116;X
19117;Chief of Staff;Russi Russev;1943;1964;1999;PA;School of Mass Combat;High;M19117;X
19118;Chief of Staff;Todor Georgiev;1944;1964;1999;PA;School of Manoeuvre;Medium;M19008;X
19119;Chief of Staff;Ivan Vulkov;1939;1964;1999;FA;School of Defence;High;M19027;X
19120;Chief of Staff;Ivan Marinov;1939;1964;1999;SC;School of Manoeuvre;Very Low;M19017;X
19121;Chief of Staff;Georgi Petsov;1943;1964;1999;SC;School of Defence;Medium;M19019;X
19122;Chief of Staff;Damjan Velchev;1944;1964;1999;LWR;School of Psychology;Medium;M19122;X
19123;Chief of Staff;Hristo Mikhailov;1939;1964;1999;ST;School of Mass Combat;Medium;M19037;X
19124;Chief of Staff;Assen Grekov;1945;1964;1999;ST;School of Manoeuvre;Medium;M19124;X
19125;Chief of Army;Iordan Peev;1937;1964;1999;PA;Decisive Battle Doctrine;Medium;M19125;X
19126;Chief of Army;Nikola Hadjipetkov;1939;1964;1999;PA;Static Defence Doctrine;Low;M19126;X
19127;Chief of Army;Vasil Boydev;1941;1964;1999;PA;Elastic Defence Doctrine;Medium;M19127;X
19128;Chief of Army;Konstantin Lukash;1943;1964;1999;PA;Guns and Butter Doctrine;Medium;M19128;X
19129;Chief of Army;Kiril Stanchev;1944;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M19026;X
19130;Chief of Army;Hristo Lukov;1939;1964;1999;FA;Static Defence Doctrine;High;M19007;X
19131;Chief of Army;Trifon Trifonov;1944;1964;1999;FA;Elastic Defence Doctrine;Medium;M19131;X
