ALG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
530001;Head of State;Akhemuk ag Ihemma;1936;1964;1999;PA;Pig-headed Isolationist;High;Ihemma;x
530002;Head of Government;Dassine Oult Yemma;1936;1964;1999;PA;Flamboyant Tough Guy;High;Yemma;x
530003;Head of Government;Rabnala Oult Lekal;1940;1964;1999;PA;Old General;High;KaiserreichRabnala;x
530004;Foreign Minister;Mokhtar Kodogo;1936;1964;1999;PA;Apologetic Clerk;Very High;unknown;x
530005;Foreign Minister;Attaher ag Illi;1936;1964;1999;PA;The Cloak N Dagger Schemer;High;Illi;x
530006;Foreign Minister;Akhemuk ag Ihemma;1936;1964;1999;PA;Ideological Crusader;Very High;Ihemma;x
530007;Foreign Minister;Bayy ag Akhemuk;1936;1964;1999;PA;Biased Intellectual;High;KaiserreichTuareg6;x
530008;Foreign Minister;Rabnala Oult Lekal;1939;1964;1999;PA;General Staffer;Very High;KaiserreichRabnala;x
530009;Foreign Minister;Dassine Oult Yemma;1936;1964;1999;PA;Great Compromiser;High;Yemma;x
530010;Foreign Minister;Zodi Ikhia;1939;1964;1999;PA;iron fisted brute;Very High;unknown;x
530011;Minister of Armament;Dassine Oult Yemma;1936;1964;1999;PA;Laissez-Faire Capitalist;Very High;Yemma;x
530012;Minister of Armament;Akhemuk ag Ihemma;1936;1964;1999;PA;Administrative Genius;High;Ihemma;x
530013;Minister of Armament;Bayy ag Akhemuk;1936;1964;1999;PA;Theoretical Scientist;High;KaiserreichTuareg6;x
530014;Minister of Armament;Rabnala Oult Lekal;1939;1964;1999;PA;Military Entrepreneur;Very High;KaiserreichRabnala;x
530015;Minister of Armament;Ag Mohammed Wau Teguidda Kaocen;1936;1964;1999;PA;Tank Proponent;Very High;Kaocen;x
530016;Minister of Armament;Meslar ag Amayas;1936;1964;1999;PA;Infantry Proponent;Very High;KaiserreichTuareg3;x
530017;Minister of Armament;Mokhtar Kodogo;1936;1964;1999;PA;Strategic Air Proponent;Very High;unknown;x
