SCH;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
17001;Head of State;Fritz Platten;1936;1959;1999;LE;Syndicalist Demagogue;High;MFritz_Platten;X
17002;Head of State;Karl Barth;1938;1969;1999;LWR;Popular Figurehead;High;MKarl_Barth;X
17003;Head of State;Swiss Federal Council;1936;1970;1999;LWR;Die-hard Reformer;High;MSwiss_Federal_Council;X
17004;Head of State;Swiss Federal Council;1936;1970;1999;SD;Weary Stiffneck;High;MSwiss_Federal_Council;X
17005;Head of State;Swiss Federal Council;1936;1970;1999;SL;Weary Stiffneck;High;MSwiss_Federal_Council;X
17006;Head of State;Swiss Federal Council;1936;1970;1999;ML;Weary Stiffneck;High;MSwiss_Federal_Council;X
17007;Head of State;Swiss Federal Council;1936;1970;1999;SC;Weary Stiffneck;High;MSwiss_Federal_Council;X
17008;Head of State;Swiss Federal Council;1936;1970;1999;PA;Autocratic Charmer;High;MSwiss_Federal_Council;X
17009;Head of State;Eugen Bircher;1936;1957;1999;PA;Reformist Soldierhos;High;L129000;X
17010;Chief of Staff;Eugen Bircher;1936;1957;1999;PA;School of Psychology;High;L129000;X
17011;Chief of Army;Eugen Bircher;1936;1957;1999;PA;Guns and Butter Doctrine;High;L129000;X
17012;Head of State;Karl Schmid;1953;1970;1999;PA;Reformist Soldierhos;High;MKarl_Schmid1907;X
17013;Head of Government;Karl Schmid;1953;1970;1999;PA;Reformist Soldierhog;High;MKarl_Schmid1907;X
17014;Head of State;Gonzague de Reynold;1936;1970;1999;FA;Barking Buffoon;High;M17090;X
17015;Foreign Minister;Gonzague de Reynold;1936;1970;1999;FA;Ideological Crusader;High;M17090;X
17016;Head of Government;Jules Humbert-Droz;1936;1970;1999;LE;Pragmatic Statesman;High;MJules_Humbert-Droz;X
17017;Foreign Minister;Jules Humbert-Droz;1936;1970;1999;LE;Ideological Crusader;High;MJules_Humbert-Droz;X
