CGX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
502001;Head of State;AOG Board of Directors;1936;1970;1999;PA;Corporation;High;aoglogo;X
502002;Head of Government;Tan Kah Kee;1920;1962;1999;SD;Silent Workhorse;High;CHITan;X
502003;Foreign Minister;Tan Kah Kee;1920;1962;1999;SD;Ideological Crusader;High;CHITan;X
502004;Minister of Armament;Tan Kah Kee;1920;1962;1999;SD;Laissez-Faire Capitalist;High;CHITan;X
502005;Minister of Security;Tan Kah Kee;1920;1962;1999;SD;Man of the People;High;CHITan;X
502006;Head of Government;Wilhelm Schrameier;1936;1939;1999;SL;Silent Workhorse;High;MWilhelm_Schrameier;X
502007;Minister of Armament;Wilhelm Schrameier;1936;1939;1999;SL;Construction Magnate;High;MWilhelm_Schrameier;X
502008;Minister of Security;Wilhelm Schrameier;1936;1939;1999;SL;Man of the People;High;MWilhelm_Schrameier;X
502009;Head of Government;Kurt Schirmer;1936;1952;1999;SL;Pragmatic Statesman;High;MKurt_Schirmer;X
502010;Foreign Minister;Kurt Schirmer;1936;1952;1999;SL;Great Compromiser;High;MKurt_Schirmer;X
502011;Head of Government;Lee Kong Chian;1936;1968;1999;ML;Silent Workhorse;High;MLee_Kong_Chian;X
502012;Minister of Armament;Lee Kong Chian;1936;1968;1999;ML;Administrative Genius;High;MLee_Kong_Chian;X
502013;Minister of Security;Lee Kong Chian;1936;1968;1999;ML;Man of the People;High;MLee_Kong_Chian;X
502014;Head of Government;Hans Walz;1936;1970;1999;ML;Naive Optimist;High;MHans_Walz;X
502015;Minister of Armament;Hans Walz;1936;1970;1999;ML;Laissez-Faire Capitalist;High;MHans_Walz;X
502016;Head of Government;Emil Helfferich;1936;1970;1999;ML;Corporate Suit;High;MEmil_Helfferich;X
502017;Foreign Minister;Emil Helfferich;1936;1970;1999;ML;Apologetic Clerk;High;MEmil_Helfferich;X
502018;Chief of Navy;Emil Helfferich;1936;1970;1999;ML;Merchant Navy Focus;High;MEmil_Helfferich;X
502019;Head of Government;Ernst Buddeberg;1936;1949;1999;SC;Spiritual Leader;High;MErnst_Buddeberg;X
502020;Head of Government;Siegmund Bodenheimer;1936;1966;1999;SC;Corporate Suit;High;MSiegmund_Bodenheimer;X
502021;Minister of Armament;Siegmund Bodenheimer;1936;1966;1999;SC;Bank President;High;MSiegmund_Bodenheimer;X
502022;Head of Government;T.V. Soong;1936;1970;1999;SC;Corporate Suit;High;M52024;X
502023;Foreign Minister;T.V. Soong;1936;1970;1999;SC;Biased Intellectual;High;M52024;X
502024;Minister of Armament;T.V. Soong;1936;1970;1999;SC;Balanced Budget Economy;High;M52024;X
502025;Head of Government;Alexander von Falkenhausen;1934;1967;1999;PA;Der Alte Chinese;High;L50304;X
502026;Foreign Minister;Alexander von Falkenhausen;1934;1967;1999;PA;General Staffer;High;L50304;X
502027;Chief of Staff;Alexander von Falkenhausen;1934;1967;1999;PA;School of Psychology;High;L50304;X
502028;Chief of Army;Alexander von Falkenhausen;1934;1967;1999;PA;Elastic Defence Doctrine;High;L50304;X
502029;Head of Government;Alfried Krupp von Bohlen und Halbach;1943;1968;1999;FA;Corporate Suit;High;MAlfried_Krupp;X
502030;Minister of Armament;Alfried Krupp von Bohlen und Halbach;1943;1968;1999;FA;Steel Magnate;High;MAlfried_Krupp;X
502031;Foreign Minister;Oskar Trautmann;1931;1951;1999;ML;Great Compromiser;High;MOskar_Trautmann;X
502032;Foreign Minister;Horst Baerensprung;1936;1953;1999;ML;Biased Intellectual;High;MHorst_Wolfgang_Baerensprung;X
502033;Minister of Security;Horst Baerensprung;1936;1953;1999;ML;Crime Fighter;High;MHorst_Wolfgang_Baerensprung;X
502034;Foreign Minister;Theodor Breher;1936;1955;1999;SC;Ideological Crusader;High;MTheodor_Breher;X
502035;Minister of Security;Theodor Breher;1936;1955;1999;SC;Compassionate Gentleman;High;MTheodor_Breher;X
502036;Foreign Minister;Enno Paul Bracklo;1936;1964;1999;SC;The Cloak N Dagger Schemer;High;MEnno_Paul_Bracklo;X
502037;Minister of Security;Enno Paul Bracklo;1936;1964;1999;SC;Silent Lawyer;High;MEnno_Paul_Bracklo;X
502038;Foreign Minister;Chen Zhiping;1936;1970;1999;PA;Great Compromiser;High;MChen_Zhiping;X
502039;Minister of Security;Chen Zhiping;1936;1970;1999;PA;Crime Fighter;High;MChen_Zhiping;X
502040;Head of Military Intelligence;Chen Zhiping;1936;1970;1999;PA;Logistics Specialist;High;MChen_Zhiping;X
502041;Foreign Minister;Otto Fürst von Bismarck;1936;1970;1999;FA;Apologetic Clerk;High;MOtto_Christian_von_Bismarck;X
502042;Foreign Minister;Rainer Kriebel;1942;1970;1999;FA;General Staffer;High;MRainer_Kriebel;X
502043;Head of Military Intelligence;Rainer Kriebel;1942;1970;1999;FA;Logistics Specialist;High;MRainer_Kriebel;X
502044;Foreign Minister;Herbert von Dirksen;1936;1956;1999;NS;Biased Intellectual;High;MHerbert_von_Dirksen;X
502045;Minister of Armament;Karl Strasser;1936;1945;1999;SL;Construction Magnate;High;MKarl_Strasser;X
502046;Minister of Armament;Qian Changzhao;1936;1970;1999;SL;Industrialiser;High;MQian_Changzhao;X
502047;Minister of Armament;Hans Driesch;1936;1942;1999;ML;Theoretical Scientist;High;MHans_Driesch;X
502048;Minister of Security;Hans Driesch;1936;1942;1999;ML;Health and Safety;High;MHans_Driesch;X
502049;Minister of Armament;Wang Chongyou;1936;1959;1999;ML;Industrial Chemist;High;MWang_Chongyou;X
502050;Minister of Armament;Rudolf Kaulla;1936;1954;1999;SC;Bank President;High;MRudolf_Benedikt_Kaulla;X
502051;Minister of Armament;John Rabe;1936;1950;1999;SC;Laissez-Faire Capitalist;High;Kaiserreich JohnRabe;X
502052;Head of Military Intelligence;John Rabe;1936;1950;1999;SC;Industrial Specialist;High;Kaiserreich JohnRabe;X
502053;Minister of Armament;Hans-Albert Bade;1931;1959;1999;SC;Infantry Proponent;High;L506009;X
502054;Minister of Armament;Li Guoqin;1936;1961;1999;SC;Resource Industrialist;High;Li Kuo Ching;X
502055;Minister of Armament;Zhu Jiahua;1936;1963;1999;SC;Theoretical Scientist;High;Kaiserreich ChuChiaHua;X
502056;Head of Military Intelligence;Zhu Jiahua;1936;1963;1999;SC;Industrial Specialist;High;Kaiserreich ChuChiaHua;X
502057;Minister of Armament;Kurt Scheider;1936;1964;1999;SC;Industrialiser;High;MKurt_Heinrich_Max_Scheider;X
502058;Minister of Armament;Herbert Straehler;1936;1970;1999;SC;Battle Fleet Proponent;High;LHerbert_Straehler;X
502059;Minister of Armament;T.L. Soong;1936;1970;1999;SC;Bank President;High;MSong_Ziliang;X
502060;Minister of Armament;Max Brücher;1936;1943;1999;PA;Resource Industrialist;High;unknown;X
502061;Minister of Armament;Paul von Mendelssohn-Bartholdy;1936;1945;1999;PA;Industrialiser;High;MPaul_vonMendelssohn-Bartholdy;X
502062;Minister of Armament;Hans Klein;1936;1957;1999;PA;Administrative Genius;High;MHans_Klein;X
502063;Minister of Armament;Ewald Loeser;1936;1970;1999;PA;Laissez-Faire Capitalist;High;MEwald_Loeser;X
502064;Minister of Security;Ewald Loeser;1936;1970;1999;PA;Efficient Sociopath;High;MEwald_Loeser;X
502065;Minister of Armament;Otto Wolff von Amerongen;1940;1970;1999;PA;Industrial Chemist;High;MOtto_Wolff_vonAmerongen;X
502066;Minister of Security;Israel Epstein;1936;1970;1999;LWR;Media Magnate;High;MIsrael_Epstein;X
502067;Minister of Security;Li Jinhui;1936;1967;1999;ML;Media Magnate;High;MLi_Jinhui;X
502068;Minister of Security;Sigmund Moosauer;1936;1945;1999;SC;Health and Safety;High;MSigmund_Moosauer;X
502069;Head of Military Intelligence;Paul von Gahlen-Kempe;1936;1957;1999;ML;Technical Specialist;High;LPaul_von_Gahlen-Kempe;X
502070;Head of Military Intelligence;Carl Fink;1914;1943;1999;SC;Dismal Enigma;High;MCarl_Emil_Adam_Fink;X
502071;Head of Military Intelligence;Heinrich Claes;1936;1970;1999;PA;Technical Specialist;High;L506350;X
502072;Chief of Staff;Hans Sehmsdorf;1935;1946;1999;ML;School of Mass Combat;High;LHans_Sehmsdorf;X
502073;Chief of Army;Hans Sehmsdorf;1935;1946;1999;ML;Decisive Battle Doctrine;High;LHans_Sehmsdorf;X
502074;Chief of Staff;Georg Kühn;1936;1952;1999;SC;School of Manoeuvre;High;LGeorg_Kuhn;X
502075;Chief of Army;Georg Kühn;1936;1952;1999;SC;Armoured Spearhead Doctrine;High;LGeorg_Kuhn;X
502076;Chief of Staff;Erich Klingbeil;1936;1954;1999;SC;School of Defence;High;LErich_Klingbeil;X
502077;Chief of Army;Erich Klingbeil;1936;1954;1999;SC;Static Defence Doctrine;High;LErich_Klingbeil;X
502078;Chief of Navy;Erich Klingbeil;1936;1954;1999;SC;Riverine Warfare Doctrine;High;LErich_Klingbeil;X
502079;Chief of Staff;Hans Graf von Kanitz;1939;1969;1999;SC;School of Fire Support;High;L506246;X
502080;Chief of Staff;Wilhelm Lindemann;1936;1944;1999;PA;School of Defence;High;L502019;X
