CMB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
541001;Head of State;H.R.M. Sisowath Monivong;1936;1964;1999;SL;Benevolent Gentleman;High;M541001;x
541002;Head of Government;Leon E. Thibeaudeau;1936;1964;1999;SL;Old Admiral;High;M541002;x
541003;Foreign Minister;Sisowath Monipong;1936;1964;1999;SL;Great Compromiser;High;M541003;x
541004;Minister of Armament;Sisowath Monireth;1936;1964;1999;SL;Infantry Proponent;Medium;M541004;x
541005;Minister of Security;Sisowath Youtevong;1936;1964;1999;SL;Silent Lawyer;Medium;M541005;x
541006;Head of Military Intelligence;Son Ngoc Thanh;1936;1964;1999;SL;Industrial Specialist;Medium;M541006;x
541007;Chief of Staff;Georges A.L. Gauthier;1936;1964;1999;SL;School of Defence;Medium;M541007;x
541008;Chief of Army;Maurice de Roussac Salcién;1936;1964;1999;SL;Static Defence Doctrine;Medium;M541008;x
541009;Chief of Navy;Leon E. Thibeaudeau;1936;1964;1999;SL;Indirect Approach Doctrine;Medium;M541002;x
541010;Chief of Air Force;Georges A.L. Gauthier;1936;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M541007;x
541011;Head of State;H.R.M. Norodom Sihanouk;1941;1964;1999;SL;Ruthless Powermonger;High;M541011;x
541012;Head of State;Norodom Suramarit;1936;1964;1999;SC;Barking Buffoon;High;M541012;x
541013;Head of State;Sisowath Monipong;1936;1964;1999;PA;Popular Figurehead;High;M541003;x
541014;Head of State;Pol Pot;1936;1964;1999;ST;Powerhungry Demagogue;High;M541014;x
541015;Head of Government;Georges A.L. Gauthier;1943;1964;1999;SL;old airmarshal;High;M541007;x
541016;Head of Government;Son Ngoc Thanh;1945;1964;1999;SL;Ambitious Union Boss;High;M541006;x
541017;Head of Government;Sisowath Monireth;1945;1964;1999;SL;Political Protege;High;M541004;x
541018;Head of Government;Sisowath Youtevong;1946;1964;1999;SL;Naive Optimist;High;M541005;x
541019;Head of Government;Sisowath Watchayavong;1947;1964;1999;SL;Corporate Suit;High;M541019;x
541020;Head of Government;Son Sann;1936;1964;1999;SC;Silent Workhorse;High;M541020;x
541021;Head of Government;Sisowath Sirik Matak;1936;1964;1999;PA;Happy Amateur;High;M541021;x
541022;Head of Government;Khieu Samphan;1936;1964;1999;ST;Smiling Oilman;High;M541022;x
541023;Foreign Minister;Sisowath Monirak;1942;1964;1999;SL;Iron Fisted Brute;High;M541023;x
541024;Foreign Minister;Leonel de Moustier;1936;1964;1999;SC;Apologetic Clerk;High;M541024;x
