UPE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
100000;Head of State;Fang Zhimin;1936;1970;1999;ST;Totalist President;High;Fang Zhimin;X
100001;Head of Government;Fang Zhimin;1936;1970;1999;ST;Totalist Chairman;High;Fang Zhimin;X
100002;Chief of Army;Fang Zhimin;1936;1970;1999;ST;Doctrine of Autonomy;High;Fang Zhimin;X
100003;Head of State;Xiang Ying;1936;1970;1999;LE;Die-hard Reformer;High;L76314;X
100004;Head of Government;Xiang Ying;1936;1970;1999;LE;Reformist Soldierhog;High;L76314;X
100005;Chief of Army;Xiang Ying;1936;1970;1999;LE;Elastic Defence Doctrine;High;L76314;X
100006;Head of State;Zhang Jinfu;1949;1970;1999;LE;Syndicalist Demagogue;High;MZhang_Jinfu;X
100007;Head of State;Chang Hengfang;1936;1950;1999;LWR;Resigned Generalissimo;High;MChang_Hengfang;X
100008;Head of State;Chen Zhengren;1949;1970;1999;LWR;Die-hard Reformer;High;MChen_Zhengren;X
100009;Head of Government;Chen Zhengren;1949;1970;1999;LWR;Silent Workhorse;High;MChen_Zhengren;X
100010;Head of State;Shen Junru;1936;1963;1999;SD;Popular Figurehead;High;CHIJunru;X
100011;Minister of Security;Shen Junru;1936;1963;1999;SD;Crime Fighter;High;CHIJunru;X
100012;Head of State;Zhang Dongsun;1936;1970;1999;SD;Popular Figurehead;High;MZhang_Dongsun;X
100013;Head of Government;Zhang Dongsun;1936;1970;1999;SD;Naive Optimist;High;MZhang_Dongsun;X
100014;Head of State;Fei Xiaotong;1952;1970;1999;SD;Benevolent Gentleman;High;MFei_Xiaotong;X
100015;Head of State;Huang Yanpei;1936;1953;1999;SL;Benevolent Gentleman;High;MHuang_Yanpei;X
100016;Foreign Minister;Huang Yanpei;1936;1953;1999;SL;Biased Intellectual;High;MHuang_Yanpei;X
100017;Minister of Armament;Huang Yanpei;1936;1953;1999;SL;Mixed Economy;High;MHuang_Yanpei;X
100018;Head of State;Hu Juewen;1945;1970;1999;SL;Die-hard Reformer;High;MHu_Juewen;X
100019;Minister of Armament;Hu Juewen;1945;1970;1999;SL;Industrialiser;High;MHu_Juewen;X
100020;Head of State;Guo Bingwen;1936;1967;1999;ML;Die-hard Reformer;High;MGuo_Bingwen;X
100021;Minister of Security;Guo Bingwen;1936;1967;1999;ML;Man of the People;High;MGuo_Bingwen;X
100022;Head of State;Lin Sen;1936;1943;1999;SC;Benevolent Gentleman;High;M52001;X
100023;Foreign Minister;Lin Sen;1936;1943;1999;SC;Great Compromiser;High;M52001;X
100024;Head of State;Chen Lifu;1943;1970;1999;SC;Die-hard Reformer;High;M52006;X
100025;Foreign Minister;Chen Lifu;1938;1970;1999;SC;Ideological Crusader;High;M52006;X
100026;Head of Military Intelligence;Chen Lifu;1936;1970;1999;SC;Political Specialist;High;M52006;X
100027;Head of State;Yan Jiagan;1954;1970;1999;PA;Benevolent Gentleman;High;Yen Chia-kan;X
100028;Head of Government;Yan Jiagan;1950;1970;1999;PA;Silent Workhorse;High;Yen Chia-kan;X
100029;Minister of Armament;Yan Jiagan;1945;1970;1999;PA;Balanced Budget Economy;High;Yen Chia-kan;X
100030;Head of State;Sun Chuanfang;1936;1943;1999;FA;Barking Buffoon;High;Sun Chuanfang2;X
100031;Chief of Army;Sun Chuanfang;1936;1943;1999;FA;Decisive Battle Doctrine;High;Sun Chuanfang;X
100032;Head of State;Chen Tiaoyuan;1936;1943;1999;FA;Ruthless Powermonger;High;Chen Diaoyuan;X
100033;Chief of Army;Chen Tiaoyuan;1936;1943;1999;FA;Elastic Defence Doctrine;High;Chen Diaoyuan;X
100034;Head of State;Qi Xieyuan;1936;1955;1999;FA;Ruthless Powermonger;High;Qi Xieyuan;X
100035;Minister of Security;Qi Xieyuan;1936;1955;1999;FA;Back Stabber;High;Qi Xieyuan;X
