detachable = yes

# 0 - Early Light Carrier Air Group
model = {
	cost 				= 1.1
	buildtime			= 170
	manpower 			= 0.07
	surfacedetectioncapability	= 4
	airdetectioncapability		= 2
	subdetectioncapability		= 2
	airdefence			= -6
	seaattack			= 2
	convoyattack			= 2
	subattack			= 0
	airattack			= 2
	shorebombardment		= 2
	distance			= 1
	supplyconsumption 		= 0.2
	fuelconsumption			= 0.5
	upgrade_time_factor 		= 0.4
	upgrade_cost_factor 		= 0.6
	equipment = { fighter = 15 bomber = 15 manpower = 75 }
}
# 1 - Basic Light Carrier Air Group
model = {
	cost 				= 1.25
	buildtime			= 170
	manpower 			= 0.07
	surfacedetectioncapability	= 5
	airdetectioncapability		= 2
	subdetectioncapability		= 2
	airdefence			= -7
	seaattack			= 4
	convoyattack			= 4
	subattack			= 0
	airattack			= 3
	shorebombardment		= 3
	distance			= 1.2
	supplyconsumption 		= 0.2
	fuelconsumption			= 0.5
	upgrade_time_factor 		= 0.4
	upgrade_cost_factor 		= 0.6
	equipment = { fighter = 15 bomber = 15 manpower = 75 }
}
# 2 - Improved Light Carrier Air Group
model = {
	cost 				= 1.5
	buildtime			= 170
	manpower 			= 0.07
	surfacedetectioncapability	= 6
	airdetectioncapability		= 3
	subdetectioncapability		= 2
	airdefence			= -7
	seaattack			= 5
	convoyattack			= 5
	subattack			= 0
	airattack			= 4
	shorebombardment		= 4
	distance			= 1.4
	supplyconsumption 		= 0.2
	fuelconsumption			= 0.5
	upgrade_time_factor 		= 0.4
	upgrade_cost_factor 		= 0.6
	equipment = { fighter = 15 bomber = 15 manpower = 75 }
}
# 3 - Semi-modern Light Carrier Air Grp
model = {
	cost 				= 1.75
	buildtime			= 170
	manpower 			= 0.07
	surfacedetectioncapability	= 7
	airdetectioncapability		= 4
	subdetectioncapability		= 3
	airdefence			= -8
	seaattack			= 6
	convoyattack			= 6
	subattack			= 0
	airattack			= 5
	shorebombardment		= 5
	distance			= 1.6
	supplyconsumption 		= 0.25
	fuelconsumption			= 0.5
	upgrade_time_factor 		= 0.4
	upgrade_cost_factor 		= 0.6
	equipment = { fighter = 15 bomber = 15 manpower = 75 }
}
# 4 - Modern Light Carrier Air Grp
model = {
	cost 				= 2
	buildtime			= 170
	manpower 			= 0.07
	surfacedetectioncapability	= 7
	airdetectioncapability		= 5
	subdetectioncapability		= 4
	airdefence			= -8
	seaattack			= 7
	convoyattack			= 7
	subattack			= 1
	airattack			= 6
	shorebombardment		= 6
	distance			= 1.8
	supplyconsumption 		= 0.3
	fuelconsumption			= 0.5
	upgrade_time_factor 		= 0.4
	upgrade_cost_factor 		= 0.6
	equipment = { fighter = 15 bomber = 15 manpower = 75 }
}
# 5 - Advanced Light Carrier Air Group
model = {
	cost 				= 2.25
	buildtime			= 170
	manpower 			= 0.07
	surfacedetectioncapability	= 8
	airdetectioncapability		= 6
	subdetectioncapability		= 5
	airdefence			= -9
	seaattack			= 8
	convoyattack			= 8
	subattack			= 2
	airattack			= 7
	shorebombardment		= 7
	distance			= 2
	supplyconsumption 		= 0.3
	fuelconsumption			= 0.5
	upgrade_time_factor 		= 0.4
	upgrade_cost_factor 		= 0.6
	equipment = { fighter = 15 bomber = 15 manpower = 75 }
}
# 6 - Semi-Modern Light CAG
model = {
	cost 				= 2.75
	buildtime			= 170
	manpower 			= 0.07
	surfacedetectioncapability	= 9
	airdetectioncapability		= 7
	subdetectioncapability		= 5
	airdefence			= -9
	seaattack			= 9
	convoyattack			= 9
	subattack			= 3
	airattack			= 8
	shorebombardment		= 8
	distance			= 2.4
	supplyconsumption 		= 0.35
	fuelconsumption			= 0.5
	upgrade_time_factor 		= 0.4
	upgrade_cost_factor 		= 0.6
	equipment = { fighter = 15 bomber = 15 manpower = 75 }
}
# 7 - Turbojet Light CAG
model = {
	cost 				= 3
	buildtime			= 190
	manpower 			= 0.07
	surfacedetectioncapability	= 10
	airdetectioncapability		= 8
	subdetectioncapability		= 7
	airdefence			= -10
	seaattack			= 10
	convoyattack			= 10
	subattack			= 4
	airattack			= 9
	shorebombardment		= 9
	distance			= 2.5
	supplyconsumption 		= 0.5
	fuelconsumption			= 0.75
	upgrade_time_factor 		= 0.4
	upgrade_cost_factor 		= 0.6
	equipment = { fighter = 15 bomber = 15 manpower = 75 }
}
# 8 - Supersonic Light CAG
model = {
	cost 				= 3.25
	buildtime			= 190
	manpower 			= 0.07
	surfacedetectioncapability	= 11
	airdetectioncapability		= 9
	subdetectioncapability		= 8
	airdefence			= -10
	seaattack			= 11
	convoyattack			= 11
	subattack			= 5
	airattack			= 10
	shorebombardment		= 10
	distance			= 2.5
	supplyconsumption 		= 0.5
	fuelconsumption			= 0.75
	upgrade_time_factor 		= 0.4
	upgrade_cost_factor 		= 0.6
	equipment = { fighter = 15 bomber = 15 manpower = 75 }
}
# 9 - Modern Light CAG
model = {
	cost 				= 3.5
	buildtime			= 190
	manpower 			= 0.07
	surfacedetectioncapability	= 12
	airdetectioncapability		= 10
	subdetectioncapability		= 9
	airdefence			= -11
	seaattack			= 12
	convoyattack			= 12
	subattack			= 6
	airattack			= 11
	shorebombardment		= 11
	distance			= 2.5
	supplyconsumption 		= 0.5
	fuelconsumption			= 0.75
	upgrade_time_factor 		= 0.4
	upgrade_cost_factor 		= 0.6
	equipment = { fighter = 15 bomber = 15 manpower = 75 }
}
