Black;;;
red;green;blue;index
120;120;120;0
60;60;60;29
40;40;40;50
10;10;10;64
Green;;;
red;green;blue;index
140;210;130;0
100;180;80;20
60;80;50;50
10;60;30;64
Orange;;;
red;green;blue;index
255;255;230;0
246;236;216;17
213;200;171;40
40;40;25;64
light blue;;;
red;green;blue;index
153;204;255;0
102;153;204;20
51;102;102;50
40;110;70;64
light grey;;;
red;green;blue;index
206;166;166;0
134;109;109;30
75;60;60;55
39;32;32;64
light brown;;;
red;green;blue;index
220;220;220;0
171;171;171;20
80;80;80;50
50;50;50;64
dark yellow;;;
red;green;blue;index
239;195;124;0
210;150;58;20
104;79;39;50
61;47;25;64
yellow;;;
red;green;blue;index
255;245;220;0
255;220;100;17
170;160;20;37
10;10;0;64
dark grey;;;
red;green;blue;index
240;240;170;0
180;160;100;29
120;80;30;50
90;60;10;64
light yellow;;;
red;green;blue;index
255;140;0;0
220;120;0;10
180;100;0;24
130;70;0;64
grey;;;
red;green;blue;index
170;170;170;0
125;125;125;30
84;88;95;55
40;43;45;64
dark green;;;
red;green;blue;index
103;176;123;0
76;123;89;20
63;71;65;50
35;36;35;64
blue;;;
red;green;blue;index
179;190;207;0
141;155;176;20
115;129;149;30
70;70;100;64
light red;;;
red;green;blue;index
255;90;90;0
241;129;129;20
203;20;20;35
80;20;10;64
white;;;
red;green;blue;index
255;255;255;0
200;200;220;25
140;140;140;35
80;80;80;64
dark brown;;;
red;green;blue;index
200;80;80;0
150;90;90;20
130;10;10;30
81;37;37;64
red;;;
red;green;blue;index
250;220;200;0
204;40;40;20
130;53;53;40
60;15;7;44
light green;;;
red;green;blue;index
141;198;169;0
116;163;139;20
48;72;60;50
29;41;35;64
light orange;;;
red;green;blue;index
250;230;15;0
220;190;6;20
164;140;0;30
66;60;0;64
brown;;;
red;green;blue;index
182;152;110;0
144;122;91;20
109;94;73;50
59;51;40;64
dark blue;;;
red;green;blue;index
100;169;226;0
90;115;159;20
66;87;117;50
33;63;72;64
dark red;;;
red;green;blue;index
190;125;125;0
170;85;85;20
100;50;50;50
80;40;40;64
dark orange;;;
red;green;blue;index
198;186;122;0
161;152;102;20
108;96;71;40
47;39;23;64
water;;;
red;green;blue;index
0;192;212;0
25;160;176;20
25;128;140;40
51;64;70;64
border;;;
red;green;blue;index
220;0;0;0
220;0;0;4
220;0;0;35
220;0;0;64
border outline;;;
red;green;blue;index
50;0;0;0
50;0;0;4
50;0;0;35
50;0;0;64
UserColor1;;;
red;green;blue;index
102;2;60;0
112;41;99;20
72;21;79;50
10;10;10;64
UserColor2;;;
red;green;blue;index
0;200;0;0
0;180;0;20
0;90;0;50
0;70;0;64
UserColor3;;;
red;green;blue;index
70;100;226;0
50;85;159;20
36;57;117;50
33;40;72;64
UserColor4;;;
red;green;blue;index
2;168;177;0
1;122;128;20
1;76;80;50
0;30;32;64
