U01;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3650;EMW;T3601;3;1930;1970;aeronautics;fighter_design;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3651;Regusci y Voulminot;T_U01_Regusci_Voulminot;4;1930;1970;naval_engineering;naval_artillery;mechanics;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3652;Arsenal de Guerra;T_U01_Arsenal_Guerra;2;1930;1941;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3653;Servicio de Material y Armamento;T_U01_SMA;3;1941;1970;artillery;mechanics;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3654;ANCAP;T3600;2;1930;1970;mechanics;chemistry;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3655;Ferrocarriles y Tranvías del Estado;T3602;3;1930;1970;mechanics;electronics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3656;Usinas y Trasmisiones Eléctricas;T_U01_UTE;3;1930;1970;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3657;Universidad de la República;T3606;3;1930;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3658;Rafael Laguardia;T_U01_Rafael_Laguardia;4;1942;1970;mathematics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3659;Escuela Naval;T_U01_Escuela_Naval;3;1930;1970;naval_engineering;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3660;Aeronáutica Militar;T_U01_Aeronautica_Militar;2;1935;1952;fighter_tactics;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3661;Fuerza Aérea Militar;T_U01_Aeronautica_Militar;3;1952;1970;fighter_tactics;bomber_tactics;centralized_execution;piloting;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3662;Alfredo Baldomir;T3603;2;1930;1944;large_unit_tactics;centralized_execution;infantry_focus;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3663;Óscar Diego Gestido;T_U01_Oscar_Diego_Gestido;3;1946;1970;large_unit_tactics;combined_arms_focus;piloting;aeronautics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3664;Escuela Militar del Ejército Nacional;T_U01_Escuela_Militar;3;1930;1970;small_unit_tactics;decentralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
