VIC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
57001;Head of State;Phillipe Petain;1936;1964;1999;PA;Hero Of Verdun;High;M57001;X
57002;Head of Government;Jean-Francois Darlan;1936;1947;1999;PA;Old Admiral;High;M57002;X
57003;Foreign Minister;Paul Baudouin;1936;1970;1999;PA;Iron Fisted Brute;Medium;M57003;X
57151;Minister of Armament;Paul Baudouin;1936;1970;1999;PA;Bank President;Very High;M57003;X
57004;Minister of Armament;Marius Berliet;1936;1945;1945;PA;Industrialiser;Very High;M57004;X
57005;Minister of Security;Joseph Barthélemy;1936;1964;1999;PA;Silent Lawyer;Medium;M57005;X
57006;Head of Military Intelligence;René Bousquet;1936;1964;1999;PA;Technical Specialist;Medium;M57006;X
57007;Chief of Staff;Charles Huntzinger;1936;1964;1999;PA;School of Defence;Medium;M57007;X
57008;Chief of Army;Maxime Weygand;1936;1945;1999;PA;Elastic Defence Doctrine;Medium;M57008;X
57009;Chief of Navy;Jean-Francois Darlan;1936;1947;1999;PA;Decisive Naval Battle Doctrine;High;M57002;X
57010;Chief of Air Force;Jean Marie Bergeret;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M57010;X
57012;Foreign Minister;Jean-Francois Darlan;1941;1947;1999;PA;General Staffer;High;M57002;X
57013;Foreign Minister;Charles André Weiss;1941;1964;1999;PA;Iron Fisted Brute;Low;M57013;X
57014;Foreign Minister;Albert Thomas;1941;1964;1999;PA;The Cloak N Dagger Schemer;Low;M57014;X
57016;Foreign Minister;Gabriel Hanoteaux;1942;1964;1999;PA;Ideological Crusader;Medium;M57016;X
57017;Chief of Staff;Jean de Lattre de Tassigny;1936;1955;1999;PA;School of Manoeuvre;Very High;M2047;X
57018;Foreign Minister;Arne Leroy;1943;1964;1999;PA;Great Compromiser;Medium;M57018;X
57019;Minister of Armament;Tulio Franco Franco;1941;1964;1999;PA;Resource Industrialist;Medium;M57019;X
57020;Minister of Armament;Marie-Jean-Lucien Lacaze;1938;1955;1999;PA;Battle Fleet Proponent;Medium;VICLac;X
57021;Minister of Armament;Robert Haas;1942;1964;1999;PA;Laissez-Faire Capitalist;Medium;M57021;X
57022;Minister of Armament;Stephane Auphan;1942;1964;1999;PA;Air to Sea Proponent;Medium;M57022;X
57023;Minister of Armament;Paul Painleve;1943;1964;1999;PA;Administrative Genius;Medium;M57023;X
57024;Minister of Armament;Paul Mantoux;1943;1964;1999;PA;Theoretical Scientist;Medium;M57024;X
57025;Minister of Security;Jean-Francois Darlan;1940;1947;1999;PA;Back Stabber;Low;M57002;X
57026;Minister of Security;Édouard Herriot;1936;1964;1999;SL;Silent Lawyer;Very High;VICEdo;X
57028;Minister of Security;Marius Viple;1942;1964;1999;PA;Man of the People;Medium;M57028;X
57029;Minister of Security;René Bousquet;1939;1964;1999;PA;Compassionate Gentleman;Medium;M57006;X
57030;Minister of Security;Raphael Alibert;1943;1964;1999;PA;Crime Fighter;Medium;M57030;X
57031;Minister of Security;Gouffre de Lapradelle;1943;1964;1999;PA;Efficient Sociopath;Medium;M57031;X
57033;Chief of Staff;Jean-Francois Darlan;1941;1947;1999;PA;School of Psychology;High;M57002;X
57034;Chief of Staff;Eugene Bridoux;1941;1955;1999;PA;School of Mass Combat;Medium;LEugene_ML_Bridoux;X
57035;Chief of Army;Eugene Bridoux;1941;1955;1999;PA;Armoured Spearhead Doctrine;Medium;LEugene_ML_Bridoux;X
57036;Chief of Navy;Jean Esteva;1936;1951;1999;PA;Open Seas Doctrine;Medium;M57036;X
57037;Chief of Navy;Jean Marie Abrial;1943;1962;1999;PA;Open Seas Doctrine;Medium;M57037;X
57038;Chief of Air Force;Maurice Jannekeyn;1942;1970;1999;PA;Carpet Bombing Doctrine;Medium;M57038;X
57039;Head of Government;Jean de Lattre de Tassigny;1945;1955;1999;PA;Respected War Hero;Very High;M2047;X
57040;Head of Military Intelligence;Gouffre de Lapradelle;1945;1964;1999;PA;Industrial Specialist;Medium;M57031;X
57043;Foreign Minister;Philippe Henriot;1936;1964;1999;FA;Ideological Crusader;Very High;kaiserreich PhilippeHenriot;X
57044;Minister of Armament;Eugène Schueller;1936;1964;1999;FA;Resource Industrialist;Very High;kaiserreich eugeneschueller;X
57045;Minister of Security;Eugène Deloncle;1936;1964;1999;FA;Efficient Sociopath;Very High;kaiserreich deloncle2;X
57046;Head of Military Intelligence;André Dewavrin;1936;1964;1999;FA;Political Specialist;Very High;kaiserreich AndreDewavrin;X
57047;Minister of Armament;Édouard Branly;1936;1964;1999;FA;Theoretical Scientist;Very High;kaiserreich eduoardbranly;X
57049;Chief of Staff;Louis Franchet d'Esperey;1936;1942;1999;FA;School of Psychology;Very High;Kaiserreich d'Esperey;X
57048;Chief of Army;François de la Rocque;1936;1964;1999;FA;Guns and Butter Doctrine;Very High;kaiserreich francoisdelarocque;X
57050;Chief of Air Force;Jean Mermoz;1936;1964;1999;FA;Army Aviation Doctrine;Very High;kaiserreich JeanMermoz;X
57051;Minister of Armament;Louis Franchet d'Esperey;1936;1942;1999;FA;Military Entrepreneur;Very High;Kaiserreich d'Esperey;X
57052;Head of State;Francis Xavier de Borbón-Parma;1936;1964;1999;FA;Autocratic Charmer;High;M10034;X
57053;Head of State;Charles de Gaulle;1936;1964;1999;PA;Reformist Soldierhos;High;M2027;X
57054;Head of Government;Charles de Gaulle;1936;1964;1999;PA;Reformist Soldierhog;High;M2027;X
57055;Minister of Armament;Charles de Gaulle;1936;1964;1999;PA;Tank Proponent;High;M2027;X
57056;Chief of Staff;Charles de Gaulle;1936;1964;1999;PA;School of Manoeuvre;High;M2027;X
57057;Head of State;S.M.R. Jean III;1936;1964;1999;PA;Bourbon Restorer;Medium;kaiserreich_jeanIII;X
57058;Head of State;S.M.I. Louis Napoleon IV;1936;1964;1999;PA;Emperor Of The French;Medium;M582001;X
57059;Head of State;S.M.R. Henri VI;1939;1964;1999;PA;King Of France;Medium;kaiserreich_henriVI;X
57060;Head of Government;Charles Maurras;1936;1964;1999;FA;Flamboyant Tough Guy;Medium;kaiserreich_maurras;X
57061;Head of Government;Paul Reynaud;1936;1964;1999;SC;Silent Workhorse;Medium;M2038;X
57062;Chief of Staff;Philippe de Hauteclocque;1940;1970;1999;PA;School of Manoeuvre;Medium;L24116;X
57063;Chief of Army;Jean de Lattre de Tassigny;1936;1955;1999;PA;Elastic Defence Doctrine;Medium;M2047;X
57064;Chief of Navy;Georges Thierry d'Argenlieu;1940;1964;1999;PA;Power Projection Doctrine;Medium;L24173;X
57065;Head of State;Paul Reynaud;1936;1964;1999;SC;Die-hard Reformer;Medium;M2038;X
57066;Head of Government;François de la Rocque;1940;1964;1999;PA;Old General;Medium;kaiserreich francoisdelarocque;X
57067;Head of Government;Charles Huntzinger;1940;1964;1999;PA;Political Protege;Medium;M57007;X
57068;Foreign Minister;George Bidault;1936;1964;1999;SC;General Staffer;Medium;M2039;X
57069;Minister of Armament;Robert Schumann;1936;1964;1999;ML;Resource Industrialist;Medium;M2088;X
57070;Minister of Security;Louis-Georges Mandel;1936;1964;1999;ML;Crime Fighter;Medium;M2108;X
57071;Head of Government;Robert Schumann;1940;1964;1999;ML;Naive Optimist;Medium;M2088;X
57072;Head of State;Jean-Francois Darlan;1940;1947;1999;PA;Barking Buffoon;Medium;M57002;X
57073;Head of State;S.M.R. Jean III;1936;1964;1999;SC;Bourbon Restorer;Medium;kaiserreich_jeanIII;X
57074;Head of State;S.M.I. Louis Napoleon IV;1936;1964;1999;SC;Emperor Of The French;Medium;M582001;X
57075;Head of State;S.M.R. Henri VI;1939;1964;1999;SC;King Of France;Medium;kaiserreich_henriVI;X
57076;Chief of Army;Joseph de Goislard de Monsabert;1936;1964;1999;SC;Elastic Defence Doctrine;High;VICMon;X
57077;Head of Military Intelligence;Henri d'Astier de La Vigerie;1936;1964;1999;FA;Logistics Specialist;High;VICVig;X
57078;Foreign Minister;Maurice Pujo;1936;1964;1999;FA;Biased Intellectual;High;VICPuj;X
57079;Chief of Staff;Antoine Béthouart;1936;1964;1999;SC;School of Psychology;High;VICAnt;X
57080;Minister of Security;Théodore Steeg;1936;1964;1999;SC;Compassionate Gentleman;High;VICSte;X
57081;Minister of Armament;Maurice Palmade;1936;1964;1999;SL;Resource Industrialist;High;VICPal;X
57082;Minister of Security;René Besse;1936;1964;1999;SL;Crime Fighter;High;VICBes;X
57083;Chief of Army;Jean Touzet du Vigier;1936;1970;1999;SC;Armoured Spearhead Doctrine;High;VICTou;X
57084;Chief of Staff;Henri Albert Niessel;1936;1956;1999;PA;School of Mass Combat;High;VICNie;X
57085;Chief of Staff;Bernard Serrigny;1936;1954;1999;PA;School of Defence;High;VICSer;X
57086;Chief of Air Force;Marie Charles Duval;1936;1958;1999;SC;Army Aviation Doctrine;High;VICDuv;X
57087;Chief of Air Force;Antonin Brocard;1936;1950;1999;ML;Air Superiority Doctrine;High;VICBro;X
57088;Chief of Air Force;René Paul Fonck;1936;1964;1999;PA;Air Superiority Doctrine;High;VICFon;X
57089;Minister of Armament;René Renoult;1936;1964;1999;SL;Laissez-Faire Capitalist;High;VICRen;X
57090;Chief of Navy;François Piétri;1936;1964;1999;SC;Indirect Approach Doctrine;High;VICPie;X
57091;Chief of Army;Alphonse Juin;1939;1964;1999;SC;Decisive Battle Doctrine;High;VICJui;X
57092;Head of Government;Édouard Herriot;1936;1964;1999;SL;Silent Workhorse;High;VICEdo;X
57093;Chief of Navy;Marie-Jean-Lucien Lacaze;1936;1955;1999;PA;Base Control Doctrine;High;VICLac;X
57094;Head of Government;Maurice Janin;1936;1946;1999;PA;Old General;High;VICJan;X
57095;Chief of Army;Maurice Janin;1936;1946;1999;PA;Decisive Battle Doctrine;High;VICJan;X
57096;Head of Government;Joachim Prince de Murat;1937;1964;1999;SC;Political Protege;High;VICMur;X
57097;Minister of Security;Joachim Prince de Murat;1936;1964;1999;SC;Man of the People;High;VICMur;X
57098;Head of Government;Pierre Costantini;1936;1964;1999;FA;Flamboyant Tough Guy;High;VICCos;X
57099;Minister of Security;Pierre Costantini;1936;1964;1999;FA;Prince of Terror;High;VICCos;X
57100;Foreign Minister;Albert Sarraut;1936;1964;1999;SL;Great Compromiser;High;VICSar;X
57101;Head of Military Intelligence;Laurent Eynac;1936;1964;1999;SL;Industrial Specialist;High;VICEyn;X
57102;Head of Military Intelligence;Damien Comte de Martel;1936;1964;1999;SL;Logistics Specialist;Medium;M528002;X
57103;Chief of Staff;Henri Amiel;1942;1970;1999;SC;School of Manoeuvre;Medium;M528007;X
57104;Chief of Army;Gabriel Puaux;1936;1964;1999;SL;Armoured Spearhead Doctrine;Medium;M528008;X
57105;Chief of Navy;François Carré de Lusançay;1936;1964;1999;SL;Base Control Doctrine;Very High;M528009;X
57106;Minister of Security;Yves Morandat;1936;1964;1999;SL;Crooked Kleptocrat;Medium;M528005;X
57107;Head of Government;Damien Comte de Martel;1936;1964;1999;SL;Ambitious Union Boss;High;M528002;X
57108;Head of Government;Henri Dentz;1936;1964;1999;PA;Reformist Soldierhog;High;L380013;X
57109;Head of Government;Gabriel Puaux;1938;1964;1999;SL;Silent Workhorse;High;M528008;X
57110;Head of Government;Georges Catroux;1941;1964;1999;SL;Old General;High;L24029;X
57111;Head of Government;Yves Chataigneau;1943;1964;1999;SL;Corporate Suit;High;M528020;X
57112;Minister of Security;André Salvat;1941;1964;1999;SL;Crime Fighter;Medium;M528036;X
57113;Head of Military Intelligence;Gabriel Puaux;1938;1964;1999;SL;Industrial Specialist;Medium;M528008;X
57114;Head of Military Intelligence;Georges Catroux;1941;1964;1999;SL;Dismal Enigma;Medium;L24029;X
57115;Chief of Air Force;Henri Amiel;1942;1970;1999;SC;Vertical Envelopment Doctrine;Medium;M528007;X
57116;Chief of Staff;Henri Dentz;1936;1964;1999;PA;School of Fire Support;Medium;L380013;X
57117;Chief of Navy;Louis Finet;1941;1964;1999;SL;Indirect Approach Doctrine;Medium;M529058;X
57118;Foreign Minister;Jacques Baumel;1940;1964;1999;SC;Iron Fisted Brute;High;M529032;X
57119;Chief of Air Force;Henri Soulat;1940;1970;1999;SL;Naval Aviation Doctrine;Medium;M529010;X
57120;Head of State;Andre Mallarme;1936;1964;1999;ML;Weary Stiffneck;High;kai_vicandml;X
57121;Head of Government;Laurent Bonnevay;1936;1964;1999;ML;Silent Workhorse;High;kai_viclrt;X
57122;Head of Government;Pierre Appell;1936;1964;1999;SD;Flamboyant Tough Guy;High;kai_vicprapl;X
57123;Foreign Minister;Paul Faure;1936;1964;1999;SD;Biased Intellectual;High;kai_vicplfr;X
57124;Minister of Armament;Emile Borel;1936;1964;1999;SD;Administrative Genius;High;kai_vicembr;X
57125;Head of State;Fernand Bouisson;1936;1964;1999;SD;Benevolent Gentleman;High;kai_vicfrnbis;X
57126;Minister of Security;Jean Hennessy;1936;1964;1999;SD;Crime Fighter;High;kai_vicjnhns;X
57127;Head of Military Intelligence;Vincent de Moro-Giafferi;1936;1964;1999;SD;Political Specialist;High;kai_vicvcdmrg;X
57128;Minister of Security;Louis Nogueres;1936;1964;1999;SD;Compassionate Gentleman;High;kai_viclsngr;X
57129;Foreign Minister;Maurice Viollette;1936;1964;1999;SD;Ideological Crusader;High;kai_vicmrcvlt;X
57130;Head of State;Pierre Etienne Flandin;1936;1964;1999;SC;Stern Imperialist;High;M2003;X
57152;Foreign Minister;Pierre Etienne Flandin;1936;1964;1999;SC;Ideological Crusader;Very High;M2003;X
57131;Head of Government;Pierre Pujo;1936;1964;1999;PA;Silent Workhorse;High;kai_vicprpj;X
57132;Head of State;Albert Chatelet;1940;1964;1999;SD;Die-hard Reformer;High;kai_vicalbrchtl;X
57133;Head of State;Francois Mitterrand;1940;1964;1999;SD;Die-hard Reformer;High;vic_frcmttr;X
57134;Head of State;Pierre Marcilhacy;1940;1964;1999;ML;Benevolent Gentleman;High;vic_prrmarhc;X
57135;Head of State;Jean Vignancour;1940;1964;1999;SC;Insignificant Layman;High;vic_jnvicgr;X
57136;Head of Government;Pierre Pflimlin;1940;1964;1999;SC;Flamboyant Tough Guy;High;vic_prrflmr;X
57137;Foreign Minister;Pierre Pflimlin;1940;1964;1999;SC;The Cloak N Dagger Schemer;High;vic_prrflmr;X
57138;Minister of Armament;Pierre-Henri Teitgen;1940;1964;1999;SC;Resource Industrialist;Medium;vic_prrhnrttg;X
57139;Minister of Security;Paul Coste-Floret;1940;1964;1999;SC;Silent Lawyer;High;vic_pllcstflr;X
57140;Minister of Armament;Francois de Menthon;1940;1964;1999;SL;Laissez-Faire Capitalist;High;vic_frcsdmth;X
57141;Head of Government;Antoine Pinay;1940;1964;1999;SL;Happy Amateur;High;vic_antpnnya;X
57142;Foreign Minister;René Pleven;1940;1964;1999;SL;Ideological Crusader;High;M2090;X
57143;Head of Government;Pierre Mendes France;1940;1964;1999;SD;Silent Workhorse;Medium;vic_prrmndsfr;X
57144;Foreign Minister;Louis Jacquinot;1940;1964;1999;SD;Apologetic Clerk;High;vic_lusjcqn;X
57145;Minister of Armament;André Philip;1940;1964;1999;SD;Resource Industrialist;Medium;vic_andrphlp;X
57146;Minister of Security;Édouard Depreux;1940;1964;1999;SD;Crime Fighter;High;vic_edurdpr;X
57147;Foreign Minister;Édouard de Castelnau;1936;1944;1999;FA;General Staffer;Very High;Kaiserreich Castelnau;X
57148;Minister of Armament;Paul Marchandeau;1936;1970;1999;SC;Administrative Genius;Very High;M2083;X
57149;Minister of Security;Camille Chautemps;1936;1970;1999;ML;Compassionate Gentleman;Very High;M2036;X
57150;Minister of Security;Henri Roy;1936;1970;1999;SL;Man of the People;Very High;M2107;X
