U43;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1234000;Head of State;Tapa Tchermoeff;1936;1950;1999;PA;The Hero Of Caucasus;Very High;kai_u34ppchrn;X
1234001;Head of State;Ali Mitayev;1936;1964;1999;LWR;Benevolent Gentleman;High;kai_u43allmtyie;X
1234002;Head of State;Lazar Bicherakhov;1936;1964;1999;ML;Resigned Generalissimo;Very High;kai_u43lzrbchr;X
1234003;Head of State;Sayd Shamyl;1936;1964;1999;SC;Stern Imperialist;Very High;AWM_Shamyl;X
1234004;Head of State;Shaykh Uzun-Hadji;1936;1964;1999;FA;Ruthless Powermonger;Very High;AWM_Uzun;X
1234005;Head of State;Georgiy Bicherakov;1936;1964;1999;SD;Autocratic Charmer;High;AWM_Bicherakov;X
1234006;Head of State;Gapor Akhriyev;1936;1964;1999;LE;Benevolent Gentleman;Medium;AWM_Gapor;X
1234007;Head of Government;Khasan Israilov;1936;1964;1999;PA;Flamboyant Tough Guy;High;kai_u34kshisr;X
1234008;Head of Government;Sultan K. Girei;1936;1964;1999;FA;Old General;Very High;kai_u43klkgri;X
1234009;Head of Government;Avraam Azorgivich Rubin;1936;1964;1999;LE;Happy Amateur;High;;X
1234010;Head of Government;Ahmet Tsalikov;1936;1964;1999;SC;Political Protege;Medium;AWM_Tsalikov;X
1234011;Head of Government;Alikhan Kantemir;1936;1964;1999;NS;Flamboyant Tough Guy;Medium;AWM_Alikhan;X
1234012;Head of Government;Georgiy Bicherakov;1936;1964;1999;SD;Silent Workhorse;High;AWM_Bicherakov;X
1234013;Head of Government;Ibriss Beysultanovich Zyazkov;1936;1964;1999;LE;Smiling Oilman;Medium;AWM_Zyazkov;X
1234014;Foreign Minister;Ali-Khaji Akusha;1936;1964;1999;PA;Iron Fisted Brute;High;AWM_Akusha;X
1234015;Foreign Minister;Abdurakhman Avtorkhanov;1936;1964;1999;LWR;Biased Intellectual;High;kai_u43abdravt;X
1234016;Foreign Minister;Osman Gube;1936;1964;1999;SC;Ideological Crusader;High;kai_u43osmgb;X
1234017;Foreign Minister;Abdul Rashid Katkhanov;1936;1964;1999;FA;Iron Fisted Brute;Medium;AWM_Katkhanov;X
1234018;Foreign Minister;Ahmet Nabi Magoma;1936;1964;1999;SD;Biased Intellectual;Medium;AWM_Nagoma;X
1234019;Foreign Minister;Ahmet Tsalikov;1936;1964;1999;ML;Ideological Crusader;Medium;AWM_Tsalikov;X
1234020;Foreign Minister;Alikhan Kantemir;1936;1964;1999;NS;Great Compromiser;Medium;AWM_Alikhan;X
1234021;Foreign Minister;Inapuk Malsaghov;1936;1964;1999;LE;Apologetic Clerk;Medium;AWM_Inapuk;X
1234022;Minister of Armament;Yan V. Poluyan;1936;1964;1999;LWR;Military Entrepreneur;High;kai_u43yanvslpl;X
1234023;Minister of Armament;Haidar Bamat;1936;1964;1999;PA;Administrative Genius;High;AWM_Haidar;X
1234024;Minister of Armament;Hassan Haidarjak;1936;1964;1999;PA;Theoretical Scientist;Medium;AWM_Haidarjak;X
1234025;Minister of Armament;Barasby Batughan;1936;1964;1999;NS;Strategic Air Proponent;High;AWM_Barasby;X
1234026;Minister of Security;Aslanbek Sheripov;1936;1964;1999;LWR;Compassionate Gentleman;High;kai_u43aslnbkshrp;X
1234027;Minister of Security;Zaurbeq Akhushkov;1936;1964;1999;PA;Crooked Kleptocrat;Medium;AWM_Zaurbeq;X
1234028;Minister of Security;Tashtemir Eldarkhanov;1936;1964;1999;LE;Prince of Terror;Medium;AWM_Tashtemir;X
1234029;Head of Military Intelligence;Sultan K. Girei;1936;1964;1999;FA;Logistics Specialist;High;kai_u43klkgri;X
1234030;Head of Military Intelligence;Georgiy Karaev;1936;1964;1999;SC;Political Specialist;High;kai_u43grgkrev;X
1234031;Head of Military Intelligence;Khadzi-Umar Mamsurov;1936;1970;1999;LWR;Logistics Specialist;High;kai_u43mamsrkhz;X
1234032;Head of Military Intelligence;Ibragim Ibragimbegov;1936;1964;1999;SC;Dismal Enigma;Medium;AWM_Ibragim;X
1234033;Head of Military Intelligence;Aytek Namitok;1936;1964;1999;PA;Logistics Specialist;Medium;AWM_Aytek;X
1234034;Head of Military Intelligence;Barasby Batughan;1936;1964;1999;NS;Technical Specialist;High;AWM_Barasby;X
1234035;Chief of Staff;Tapa Tchermoeff;1936;1950;1999;PA;School of Mass Combat;High;kai_u34ppchrn;X
1234036;Chief of Staff;Lazar Bicherakhov;1936;1953;1999;ML;School of Psychology;Very High;kai_u43lzrbchr;X
1234037;Chief of Staff;Kazbeg Karsanov;1939;1970;1999;LE;School of Fire Support;High;AWM_Karsanov;X
1234038;Chief of Army;Jamaldin Alborgachiyev;1936;1964;1999;SC;Decisive Battle Doctrine;Very High;AWM_Jamaldin;X
1234039;Chief of Army;Movlid Visaitov;1936;1964;1999;PA;Doctrine of Autonomy;High;kai_u43movldvsd;X
1234040;Chief of Army;Kady Bayramukov;1940;1970;1999;SC;Doctrine of Autonomy;High;kai_u43brmk;X
1234041;Chief of Army;Sultan K. Girei;1936;1964;1999;FA;Elastic Defence Doctrine;Very High;kai_u43klkgri;X
1234042;Chief of Army;Khadzi-Umar Mamsurov;1936;1970;1999;LWR;Commando Doctrine Army;High;AWM_Hajjumar;X
1234043;Chief of Air Force;Murad Ozdoev;1943;1970;1999;PA;Army Aviation Doctrine;High;kai_u43mrdozd;X
1234044;Chief of Army;Kazbeg Karsanov;1939;1970;1999;LE;Guns and Butter Doctrine;High;AWM_Karsanov;X
