PAR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
42001;Head of State;Eusebio Ayala;1936;1964;1999;ML;Benevolent Gentleman;High;M42001;X
42002;Head of Government;Eusebio Ayala;1936;1964;1999;ML;Corporate Suit;High;M42001;X
42003;Foreign Minister;Luís Alberto Riart;1936;1964;1999;ML;The Cloak N Dagger Schemer;Medium;M42003;X
42004;Minister of Armament;Federico Chaves;1936;1964;1999;ML;Infantry Proponent;Medium;M42004;X
42005;Minister of Security;Nicolas Delgado;1936;1964;1999;ML;Prince of Terror;Medium;M42005;X
42006;Head of Military Intelligence;Juan Manuel Frutos;1936;1964;1999;SC;Logistics Specialist;Medium;M42006;X
42007;Chief of Staff;Igor Ern;1936;1964;1999;ML;School of Defence;Medium;M42007;X
42008;Chief of Army;Manuel T. Aponte;1936;1964;1999;ML;Static Defence Doctrine;Medium;M42008;X
42009;Chief of Navy;Manuel T. Aponte;1936;1964;1999;ML;Indirect Approach Doctrine;Medium;M42008;X
42010;Chief of Air Force;Vicente Almonacid;1936;1964;1999;ML;Air Superiority Doctrine;Medium;M42010;X
42011;Head of State;Rafael Franco;1936;1964;1999;SD;Resigned Generalissimo;High;M42047;X
42012;Head of State;Felix Paiva;1937;1964;1999;SD;Insignificant Layman;High;M42062;X
42013;Head of State;José Estigarribia Insaurralde;1939;1964;1999;SD;Autocratic Charmer;High;M42063;X
42014;Head of State;Higenio Morinigo Martinez;1940;1964;1999;PA;Barking Buffoon;High;M42064;X
42015;Head of Government;Eugenio Garay;1936;1964;1999;SD;Ambitious Union Boss;High;M42065;X
42016;Head of Government;Felix Paiva;1937;1964;1999;SD;Smiling Oilman;High;M42062;X
42017;Head of Government;José Estigarribia Insaurralde;1939;1964;1999;SD;Happy Amateur;High;M42063;X
42018;Head of Government;Higenio Morinigo Martinez;1940;1964;1999;PA;Old General;High;M42064;X
42019;Head of Government;Raimundo Rolon Villasanti;1944;1964;1999;SC;Political Protege;High;M42069;X
42020;Foreign Minister;Juan Stefanich;1936;1964;1999;SD;Ideological Crusader;Medium;M42049;X
42021;Foreign Minister;Cecilio Báez;1937;1964;1999;SD;Iron Fisted Brute;Medium;M42072;X
42022;Foreign Minister;Luís Avelino Argaña;1937;1964;1999;SL;Great Compromiser;Medium;M42041;X
42023;Foreign Minister;Justo Pastór Prieto;1939;1964;1999;SC;Ideological Crusader;Medium;M42074;X
42024;Foreign Minister;Elías Ayala;1939;1964;1999;SC;Biased Intellectual;Medium;M42043;X
42025;Foreign Minister;Tomas A. Salomoni;1939;1964;1999;SD;Ideological Crusader;Medium;M42076;X
42026;Foreign Minister;Luís Avelino Argaña;1940;1964;1999;PA;Great Compromiser;Medium;M42041;X
42027;Foreign Minister;Juan Manuel Alvarté;1944;1964;1999;SC;Apologetic Clerk;Medium;M42079;X
42028;Foreign Minister;Horacío Chiriani Cotor;1945;1964;1999;PA;Ideological Crusader;Medium;M42080;X
42029;Foreign Minister;Antonio Alberto Taboada;1946;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M42081;X
42030;Foreign Minister;Cesar Augusto Vasconcellos;1947;1964;1999;PA;General Staffer;Medium;M42082;X
42031;Minister of Armament;Riccardo Odriosola;1936;1964;1999;LWR;Resource Industrialist;Medium;M42051;X
42032;Minister of Armament;José Estigarribia Insaurralde;1937;1964;1999;SC;Military Entrepreneur;Medium;M42063;X
42033;Minister of Armament;Julio Manuel Morales;1939;1964;1999;SL;Laissez-Faire Capitalist;Medium;M42085;X
42034;Minister of Armament;Alejandro Marin;1939;1964;1999;SD;Infantry Proponent;Medium;M42086;X
42035;Minister of Armament;Pablo Max Ynsfrán;1940;1964;1999;PA;Laissez-Faire Capitalist;Medium;M42044;X
42036;Minister of Armament;Salvador Villagrán Maffiodo;1942;1964;1999;SC;Administrative Genius;Medium;M42054;X
42037;Minister of Armament;Juan Natalicio Gonzalez;1944;1964;1999;SC;Tank Proponent;Medium;M42089;X
42038;Minister of Armament;Alírio Ugarte Díaz;1946;1964;1999;SC;Theoretical Scientist;Medium;M42090;X
42039;Minister of Security;Urribe Chilandro;1936;1964;1999;SD;Silent Lawyer;Medium;M42091;X
42040;Minister of Security;Efraim Cardozo;1937;1964;1999;SL;Crime Fighter;Medium;M42045;X
42041;Minister of Security;Francisco Esculies;1939;1964;1999;SD;Man of the People;Medium;M42055;X
42042;Minister of Security;Vicente Machuca;1940;1964;1999;PA;Prince of Terror;Medium;M42094;X
42043;Minister of Security;Justo P. Benitez;1944;1964;1999;SC;Compassionate Gentleman;Medium;M42095;X
42044;Minister of Security;Luis de Gasperi;1946;1964;1999;SC;Silent Lawyer;Medium;M42096;X
42045;Head of Military Intelligence;Rafael Nieto;1936;1964;1999;SD;Dismal Enigma;Medium;M42056;X
42046;Head of Military Intelligence;Carlos Sosa;1937;1964;1999;SC;Naval Intelligence Specialist;Medium;M42098;X
42047;Head of Military Intelligence;Juan Teodoro Decoud;1939;1964;1999;SL;Political Specialist;Medium;M42099;X
42048;Head of Military Intelligence;Augusto Saldívar;1940;1964;1999;PA;Industrial Specialist;Medium;M42100;X
42049;Head of Military Intelligence;Hugo Estigarribua Elízeche;1944;1964;1999;SC;Technical Specialist;Medium;M42046;X
42050;Head of Military Intelligence;Raúl Sapeña Pastor;1946;1964;1999;SC;Dismal Enigma;Medium;M42102;X
42051;Chief of Staff;Rafael Franco;1936;1964;1999;SD;School of Manoeuvre;Medium;M42047;X
42052;Chief of Staff;Manuel T. Aponte;1937;1964;1999;SC;School of Fire Support;Medium;M42008;X
