U49;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
72004;Minister of Armament;Jan Hendrik Hofmeyr;1936;1964;1999;ML;Laissez-Faire Capitalist;Very High;kaiserreich_SAF_Hofmeyr;X
72005;Minister of Security;Jan C. Smuts;1936;1964;1999;SC;Man of the People;High;M70005;X
72006;Head of Military Intelligence;Jan C. Smuts;1936;1964;1999;SC;Logistics Specialist;Medium;M70005;X
72007;Chief of Staff;Pierre van Ryneveld;1936;1950;1999;SC;School of Manoeuvre;Very High;M70007;X
72008;Chief of Army;Jan C. Smuts;1936;1964;1999;SC;Elastic Defence Doctrine;Very High;M70005;X
72009;Chief of Navy;Pierre Oliver-Knoll;1936;1964;1999;SC;Open Seas Doctrine;Very High;M70009;X
72010;Chief of Air Force;Pierre van Ryneveld;1936;1950;1999;SC;Air Superiority Doctrine;Very High;M70007;X
72030;Head of Government;Jan C. Smuts;1936;1964;1999;SC;Backroom Backstabber;High;M70005;X
72031;Foreign Minister;Gert Cronje;1964;1964;1999;PA;Iron Fisted Brute;High;M70031;X
72032;Foreign Minister;Eric H. Louw;1964;1964;1999;PA;Biased Intellectual;Very High;M70032;X
72033;Foreign Minister;Reginald Blankenberg;1936;1964;1999;SC;Biased Intellectual;High;M70033;X
72034;Foreign Minister;Graham Botha;1936;1964;1999;ML;Apologetic Clerk;High;M70034;X
72035;Foreign Minister;Jan C. Smuts;1936;1964;1999;SC;Ideological Crusader;Very High;M70005;X
72036;Foreign Minister;E.G. Jansen;1936;1964;1999;PA;Great Compromiser;High;M70036;X
72037;Foreign Minister;Pierre van Ryneveld;1936;1964;1999;SC;General Staffer;Very High;M70007;X
72038;Foreign Minister;L. J. du Plessis;1936;1964;1999;ML;Ideological Crusader;High;M70013;X
72041;Minister of Armament;J. G. Strijdom;1964;1964;1999;FA;Resource Industrialist;Very High;M70041;X
72043;Minister of Armament;S.P. Le Roux;1964;1964;1999;FA;Administrative Genius;Low;M70043;X
72045;Minister of Armament;H. J. van der Byl;1936;1964;1999;ML;Theoretical Scientist;Very High;M70045;X
72047;Minister of Armament;Adolph Malan;1936;1964;1999;ML;Air Superiority Proponent;Low;M70047;X
72048;Minister of Armament;Charles T. te Water;1936;1964;1999;SC;Resource Industrialist;High;M70048;X
72049;Minister of Armament;Oswald Pirow;1964;1964;1999;FA;Military Entrepreneur;Medium;M70014;X
72050;Minister of Armament;Cornelis van Zuigenbrogge;1936;1964;1999;SC;Submarine Proponent;Very High;M70050;X
72051;Minister of Armament;Pierre Oliver-Knoll;1936;1964;1999;SC;Battle Fleet Proponent;Very High;M70009;X
72052;Minister of Armament;P.O. Sauer;1964;1964;1999;PA;Laissez-Faire Capitalist;Very High;M70052;X
72053;Minister of Armament;Marinus van Osterkemp;1936;1964;1999;SC;Air to Sea Proponent;Low;M70053;X
