LUX;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8500;Lëtzebuerger Arméi Arsénal;T9800;3;1920;1970;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8501;Société Luxembourgeoise d'Armes;T_LUX_SOLA;4;1945;1970;artillery;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8502;Ciments Luxembourgeois;T_LUX_Ciments_Luxembourgeois;3;1919;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8503;Atelier électro-mécanique Kieffer;T_LUX_Kieffer;4;1923;1970;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8504;Paul Wurth;T_LUX_Paul_Wurth_SA;5;1870;1970;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8505;ARBED;T8500;6;1911;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8506;Cours Techniques Supérieurs;T_LUX_LIST;3;1916;1970;mechanics;electronics;training;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8507;Institut Royal Grand-Ducal;T_LUX_Grand-Ducal_Institute;3;1868;1970;mathematics;chemistry;nuclear_physics;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8508;Émile Speller;T_LUX_Emile_Speller;4;1936;1945;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8509;Max Brahms;T_LUX_Max_Brahms;4;1945;1970;small_unit_tactics;infantry_focus;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
