UPE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4700;Dornier Ostasien Hangzhou;T_GER_Dornier;3;1933;1946;aeronautics;fighter_design;bomber_design;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4701;Li Yaozi;T_UPE_Li_Yaozi;4;1940;1970;aeronautics;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4702;Nanking Aviation Bureau;TC_CHC_8317;4;1946;1970;aeronautics;fighter_design;bomber_design;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4703;Nanchang Aircraft Works;T_UPR_Nanchang_Aircraft_Works;5;1942;1970;aeronautics;fighter_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4704;Liang Shoupan;T_UPE_Liang_Shoupan;4;1952;1970;rocketry;aeronautics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4705;Jiaxing Port Shipyard;100751;3;1918;1950;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4706;Jinling Shipyard;100772;5;1950;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4707;Jinling Manufacturing Bureau;T_CHI_Jiangnan_Arsenal;4;1929;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4708;Yu Dawei;T_UPR_Yu_Dawei;5;1933;1970;artillery;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4709;He Naimin;T_UPE_He_Naimin;3;1936;1947;mechanics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
