CSX;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8800;CAMCO;T1000;3;1930;1939;aeronautics;fighter_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8801;Aviation Industries of China;T8303;4;1939;1970;aeronautics;fighter_design;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8802;Manzhou Hángkong;T6401;5;1969;1970;aeronautics;fighter_design;bomber_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8803;Rumpler Flugzeugwerke China;Kaiserreich RumplerWerke;5;1969;1970;aeronautics;fighter_design;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8804;Chengdu Aircraft Industry Corp.;T8313;5;1950;1970;aeronautics;fighter_design;bomber_design;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8805;Tsien Hsue-shen;Tsien Hsue-shen;6;1940;1970;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8806;Dagu Shipyard;T8804;3;1930;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8807;Kiangnan Shipyard;100751;4;1969;1970;naval_engineering;naval_artillery;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8808;Huludao Shipyard;T110;4;1969;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8809;Ningbo Shipyards;kaiserreich TNingbo;6;1969;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8810;Huangpu Shipyard;TC_CHC_8320;3;1969;1970;naval_engineering;naval_artillery;submarine_design;technical_efficiency;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8811;Taiyuan Arsenal;T8801;4;1930;1940;artillery;mechanics;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8812;Taiyuan Arsenal;T8801;5;1940;1970;artillery;mechanics;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8813;Krupp China;T13;6;1969;1970;artillery;mechanics;chemistry;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8814;Fèngtian Binggongchang;T1003;6;1969;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8815;Mauser-Drache Werke;T9;7;1969;1970;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8816;Shanghai Arsenal;kaiserreich Tshanghaiarsenal;4;1969;1970;artillery;general_equipment;munitions;training;marine_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
