CYN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
11402;Long Yun;kais_long_yun;4;1930;1970;combined_arms_focus;large_unit_tactics;centralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11403;Lu Han;kais_lu_han;5;1930;1970;fighter_tactics;bomber_tactics;aircraft_testing;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11400;Gdangsonzalin;T10401;3;1930;1970;infantry_focus;decentralized_execution;individual_courage;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
842000;Kunming Airfield;kais_kunming_airfield;3;1930;1970;aeronautics;mechanics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
842008;Chengdu Aviation Corporation;T8313;5;1945;1970;electronics;general_equipment;rocketry;aeronautics;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
842001;Kunming Arsenal;kais_kunming_arsenal;4;1930;1970;munitions;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
842006;Shanghai Arsenal;kaiserreich Tshanghaiarsenal;4;1964;1970;artillery;general_equipment;training;munitions;marine_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
842002;Chengdu Industrial Department;kais_chengdu_industrial_department;4;1930;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
842007;Yunnan-Haiphong Railway;Z_T_CYN_RAIL;2;1930;1970;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
842009;Northern Optical Electronics;100737;2;1936;1970;electronics;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
842003;Ningbo Shipyards;kaiserreich TNingbo;6;1964;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11401;State Southwest Associated University;T11401;5;1938;1970;mechanics;chemistry;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
842004;Hong Kong University;kaiserreich Thku;4;1964;1970;technical_efficiency;mathematics;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
842005;Shanghai University;kaiserreich Tshanghaiu;5;1964;1970;electronics;mechanics;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
