U26;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
18600;Aviotehas;T1201;4;1930;1970;aeronautics;fighter_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18601;Irbitis;T2000;4;1930;1970;aeronautics;fighter_design;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18602;Noblessner Shipyard;T_EST_Noblessner;3;1930;1970;naval_engineering;naval_artillery;submarine_design;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18603;Riga Shipyard;T_LAT_Riga_Shipyard;3;1930;1970;naval_engineering;naval_artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18604;Russo-Baltic Shipyard;T_EST_Russo-Baltic_Shipyard;4;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18605;Linkaiciai Artillery Workshop;T_LIT_Linkaiciai_Workshop;3;1937;1970;artillery;mechanics;electronics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18606;Tallinna Arsenal;T2001;4;1930;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18607;Deutsch-Baltische Waggonfabrik;kaissereich deubalt wagon;3;1930;1970;mechanics;electronics;general_equipment;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18608;Ford-Vairogs;T_LAT_Ford-Vairogs;3;1937;1970;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18609;AS Franz Krull;T_EST_Franz_Krull;3;1930;1970;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18610;Paul Kogerman;T_EST_Kogerman;4;1930;1952;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18611;Eesti Kivioli;T1200;4;1930;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18612;Baltic Railways;T2104;4;1930;1970;mechanics;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18613;Valsts Elektrotehniska Fabrika ;T2002;4;1930;1970;mechanics;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18614;Eesti Energia;T_EST_Eenergia;5;1939;1970;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18615;Karl Papello;T_EST_Papello;5;1936;1958;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18616;Tallinn Technical University;T_EST_Tallinn_University;3;1930;1970;mechanics;electronics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18617;Gediminas' Engineering Institute;T3;4;1944;1970;mathematics;mechanics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18618;Ernst Opik;T1204;5;1930;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18619;University of Tartu;Kaiserreich Dorpat;5;1930;1970;mathematics;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18620;Hugo Legzdins;T2006;3;1940;1970;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18621;Alexander von Salza;Kaiserreich tech von Salza;3;1930;1952;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18622;Baltic Naval Academy;T_U26_Baltic_Naval_Academy;3;1945;1970;naval_engineering;large_taskforce_tactics;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18623;Richard Tomberg;T_EST_Richard_Tomberg;3;1940;1970;fighter_tactics;bomber_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18624;Rudolfs Kandis;T_LAT_Rudolfs_Kandis;4;1930;1970;fighter_tactics;bomber_tactics;piloting;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18625;Antanas Gustaitis;T2103;4;1930;1960;fighter_tactics;bomber_tactics;piloting;aircraft_testing;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18626;Johann Laidoner;T1203;4;1930;1952;small_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18627;Stasys Rastikis;T_LIT_Rastikis_Stasys;4;1930;1960;large_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18628;Alfons Rebane;T_EST_Alfons_Rebane;4;1941;1970;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18629;Baltic Defence College;T_U26_Baltic_Defence_College;4;1945;1970;small_unit_tactics;large_unit_tactics;decentralized_execution;combined_arms_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
