CXB;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
11007;Lanzhou Manufacturing Bureau;T_CXB_Lanzhou_Arsenal;2;1907;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11008;Yumen Oil Refinery;T_CXB_Yumen_Oil;2;1939;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11009;Jiuquan Iron Works;T_CXB_Jiuquan_Iron&Steel;3;1942;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11004;Hu Songshan;kai_husongT;2;1927;1955;mathematics;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11001;Lanzhou University;T_CSB_Lanzhou_University;3;1909;1970;mathematics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11006;Xining Air Force Command;T10402;2;1940;1970;fighter_tactics;bomber_tactics;piloting;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11000;Lanzhou Military & Engineering School;T10401;2;1910;1970;small_unit_tactics;infantry_focus;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11002;Ma Buqing;kais_ma_buqing;3;1931;1966;small_unit_tactics;decentralized_execution;individual_courage;cavalry_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11003;Ma Bufang;T51207;4;1931;1968;large_unit_tactics;centralized_execution;combined_arms_focus;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11005;Ma Hongkui;Kai_maHongkuiT;4;1930;1957;large_unit_tactics;centralized_execution;individual_courage;cavalry_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
