UCS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4600;Nanchuan Aircraft Factory;T1000;3;1937;1950;aeronautics;fighter_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4601;Lin Tonghua;T_UCS_Lin_Tonghua;4;1937;1950;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4602;Chengdu Aviation Industry Co.;T8303;5;1950;1970;aeronautics;fighter_design;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4603;Minsheng Industrial Co.;T_UCS_Minsheng_Industrial;4;1926;1970;naval_engineering;mechanics;general_equipment;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4604;Chongqing Steel Plant;T_UCS_Chongqing_Ironworks;3;1935;1950;artillery;mechanics;munitions;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4605;Sichuan Machinery Bureau;T_UCS_Sichuan_Arsenal;4;1876;1970;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4606;Ciqikou Arsenal;T_CGX_Pajiang_Artillery_Factory;4;1936;1970;artillery;mechanics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4607;Chengdu Locomotive Factory;T_UCS_Chengdu_Locomotive;4;1947;1970;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4608;Cao Renyuan;T_UCS_Cao_Renyuan;3;1937;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4609;Zhang Hongyuan;T_UCS_Zhang_Hongyuan;3;1942;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4610;Siemens Ostasien Chengdu;kaiserreich siemens-china;3;1913;1950;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4611;Panzhihua Iron and Steel;T_UCS_Panzhihua_Steel;3;1936;1946;mechanics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4612;Huaxi Industrial Company;T_UCS_Huaxi_Industrial_Company;4;1932;1950;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4613;Deyang Electric Machinery Co.;T_UCS_Dongfang_Electric;4;1950;1970;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4614;Panzhihua Iron and Steel;T_UCS_Panzhihua_Steel;4;1946;1970;mechanics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4615;Chongqing Special Steel Plant;T_UCS_Chongqing_Steel_Plant;6;1950;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4616;Chongqing Ordnance College;T_UCS_Chongqing_Uof_Tech;3;1940;1970;mechanics;electronics;training;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4617;National Sichuan University;T_UCS_Sichuan_University;3;1896;1970;mechanics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4618;Wei Shizhen;T_UCS_Wei_Shizhen;4;1935;1970;mathematics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4619;Zheng Ji;T_UCS_Zheng_Ji;4;1945;1970;medicine;chemistry;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4620;Li Yinyuan;T_UCS_Li_Yinyuan;4;1952;1970;mathematics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
