CHL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
5100;COSACH;T99081;4;1930;1944;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5101;COSACH;T99081;5;1944;1970;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5102;Chile Copper Company;T99082;5;1930;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5103;EFE;T99083;4;1930;1939;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5104;EFE;T99083;4;1939;1970;industrial_engineering;mechanics;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5105;Universidad de Chile;T99084;4;1930;1950;management;training;chemistry;medicine;individual_courage;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5106;Universidad de Chile;T99084;5;1950;1970;management;training;chemistry;medicine;individual_courage;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5107;UTFSM;T99085;3;1930;1938;technical_efficiency;mechanics;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5108;UTFSM;T99085;4;1938;1970;technical_efficiency;mechanics;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5109;PUCV;T99086;3;1930;1943;mechanics;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5110;PUCV;T99086;3;1943;1946;technical_efficiency;mechanics;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5111;PUCV;T99086;4;1946;1970;technical_efficiency;mechanics;electronics;management;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5112;FAMEA;T99087;3;1930;1945;training;general_equipment;munitions;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5113;FAMEA;T99087;4;1969;1970;training;general_equipment;munitions;artillery;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5114;Companía Sud-Americana de Explosivos;T99088;3;1930;1970;munitions;general_equipment;training;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5115;Curtiss-Keystone Chile;T99089;3;1930;1943;fighter_design;aeronautics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5116;Curtiss-Keystone Chile;T99089;3;1943;1970;fighter_design;mechanics;aeronautics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5117;Curtiss-Keystone Chile;T99089;4;1969;1970;fighter_design;mechanics;aeronautics;avionics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5118;Arsenales de Marina;T99090;4;1930;1970;naval_engineering;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5119;Arsenales de Marina;T99090;5;1969;1970;naval_engineering;technical_efficiency;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5120;Escuela de Militar;T99091;4;1930;1949;small_unit_tactics;mountain_training;infantry_focus;training;technical_efficiency;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5121;Escuela de Militar;T99091;5;1949;1970;small_unit_tactics;mountain_training;infantry_focus;training;technical_efficiency;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5122;Escuela de Militar;T99091;5;1969;1970;small_unit_tactics;mountain_training;infantry_focus;training;technical_efficiency;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5123;Carlos Fuentes Rabe;T99092;4;1930;1945;centralized_execution;large_unit_tactics;individual_courage;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5124;Guillermo Barrios Tirado;T99093;5;1945;1970;training;individual_courage;large_unit_tactics;maneuver_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5125;Escuela de Aeronáutica Militar;T99094;3;1930;1970;fighter_tactics;centralized_execution;aeronautics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5126;Escuela de Aeronáutica Militar;T99094;4;1969;1970;fighter_tactics;centralized_execution;aeronautics;piloting;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5127;Aválos Manuel Prado;T99095;4;1930;1970;fighter_tactics;decentralized_execution;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5128;Escuela Naval del Estado;T99096;4;1930;1941;large_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5129;Escuela Naval Arturo Prat;T99096;4;1941;1970;large_taskforce_tactics;naval_training;centralized_execution;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5130;Alejandro García Castelblanco;T99097;3;1930;1944;large_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5131;Ryan O`Francisco Orrego;T99098;4;1944;1970;small_taskforce_tactics;centralized_execution;seamanship;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
