OTT;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
15700;Nuri Demirag Aircraft Works;T_TUR_Nuri_Demirag;4;1937;1970;aeronautics;fighter_design;bomber_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15701;TOMTAS;TOMTAS;5;1925;1945;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15702;Vecihi Hürkus;vkVI_KR_TT;5;1924;1969;aeronautics;fighter_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15703;Ankara Aerospace Industries;T_TUR_TUSAS;5;1945;1970;aeronautics;electronics;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15704;Istinye Shipyard;T_OTT_Istinye_Shipyard;4;1912;1970;naval_engineering;naval_artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15705;Gölcük Naval Shipyard;T_TUR_Golcuk_Tersanesi;4;1926;1942;naval_engineering;naval_artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15706;Gölcük Naval Shipyard;T_TUR_Golcuk_Tersanesi;4;1942;1970;naval_engineering;naval_artillery;submarine_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15707;Taskizak Shipyard;T_TUR_Istanbul_Tersanesi;5;1455;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15708;Zeytinburnu Munitions Factory;OTT_Tech_Zeytinburnu;4;1914;1970;mechanics;chemistry;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15709;Kirikkale Artillery & Steel Works;T_OTT_Kirikkale_Artillery;4;1932;1970;artillery;mechanics;munitions;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
