ITA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1800;Politecnico di Milano;ITA_Politecnico;3;1930;1970;mathematics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1801;Normale di Pisa;ITA_Normale;3;1930;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1802;Sapienza di Roma;ITA_Sapienza;4;1930;1970;management;training;general_equipment;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1803;Giulio Natta;T1821;4;1930;1970;chemistry;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1804;Corradino D'Ascanio;ITA_Corradino;2;1930;1970;mechanics;technical_efficiency;aeronautics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1805;Societá Montecatini;T1820;4;1930;1970;chemistry;industrial_engineering;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1806;FIAT;T1808;4;1930;1970;mechanics;management;technical_efficiency;vehicle_engineering;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1807;Lancia;T1812;4;1930;1970;mechanics;vehicle_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1808;Piaggio Aero Industries;ITA_Piaggio;4;1930;1970;bomber_design;avionics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1809;Macchi;T1810;5;1930;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1810;Savoia-Marchetti;T1811;3;1930;1970;aeronautics;aircraft_testing;naval_artillery;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1811;Cantieri Liguri Riuniti;T1804;5;1930;1970;naval_engineering;technical_efficiency;naval_artillery;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1812;Cantieri Navali Toscani;T1805;4;1930;1970;naval_engineering;technical_efficiency;naval_artillery;carrier_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1813;Ferrovie Nord;ITA_FerrovieNord;6;1920;1970;industrial_engineering;technical_efficiency;electronics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1814;Ferrovie Bolognesi;ITA_FerrovieBologna;4;1930;1970;industrial_engineering;general_equipment;electronics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1815;Arsenale di Ferrara;ITA_Ferrara;2;1930;1970;training;general_equipment;artillery;technical_efficiency;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1816;Fabbriche Beretta;T1801;4;1930;1970;training;general_equipment;munitions;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1817;Scuola Militare di Modena;ITA_Modena;5;1930;1970;training;combined_arms_focus;centralized_execution;large_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1818;Scuola Carabinieri di Torino;ITA_Torino;4;1930;1970;training;infantry_focus;;decentralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1819;Scuola Aeronautica Romana;ITA_AccademiaRomana;3;1930;1970;bomber_tactics;fighter_tactics;aircraft_testing;piloting;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1820;Istituto Aeronautico di Firenze;ITA_IstitutoFirenze;5;1930;1970;bomber_tactics;centralized_execution;piloting;fighter_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1821;Accademia Navale di Livorno;ITA_Livorno;6;1930;1970;seamanship;naval_training;centralized_execution;naval_engineering;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1822;Scuola Navale di Rimini;ITA_Rimini;2;1930;1970;seamanship;naval_training;large_taskforce_tactics;centralized_execution;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1823;Università Federico II;RSI_FedericoII;5;1969;1970;mathematics;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1824;I.M.A.M.;RSI_IMAM;3;1969;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1825;Cantieri Navali di Palermo;RSI_Palermo;3;1969;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1826;Ferrovie Italiane del Sud;RSI_Ferrovie;5;1969;1970;industrial_engineering;general_equipment;management;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1827;Scuola Centrale di Alpinismo;100180;4;1900;1970;small_unit_tactics;mountain_training;airborne_training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
