BEL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
703;Renard Constructions Aéronautiques;T704;4;1925;1970;aeronautics;fighter_design;bomber_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
702;SABCA;T_BEL_SABCA;5;1920;1970;aeronautics;fighter_design;bomber_design;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
700;J. Boel & Zonen;T_BEL_Boel&Zonen;4;1829;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
701;Vulkan-Cockerill;T_BEL_Vulkan-Cockerill;6;1842;1970;naval_engineering;naval_artillery;general_equipment;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
704;Fonderie Royale de Cannons;T711;5;1930;1970;artillery;mechanics;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
705;FN Herstal;T702;6;1889;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
706;Minerva Motors;T_BEL_Minerva;4;1897;1970;mechanics;electronics;munitions;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
707;La Brugeoise;T713;4;1913;1970;mechanics;electronics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
708;Ateliers de Familleureux;T7;4;1919;1970;artillery;mechanics;munitions;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
724;FN Automobiles;T702;5;1899;1970;mechanics;general_equipment;training;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
723;Société Anonyme la Métallurgique;kaiserreich_T8a;5;1854;1970;mechanics;technical_efficiency;vehicle_engineering;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
709;ACEC;T_BEL_ACEC;4;1904;1947;mechanics;electronics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
710;Société Belge de l'Azote;T_BEL_SBA;5;1923;1970;chemistry;general_equipment;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
711;ACEC;T_BEL_ACEC;5;1947;1970;mechanics;electronics;general_equipment;nuclear_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
712;Forges de Clabecq;T712;6;1888;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
713;Solvay;T706;7;1863;1970;mathematics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
714;Bayer AG;Bayerlog_KR;7;1900;1970;medicine;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
715;Universität von Löwen;Universität_von_Löwen_TT;7;1425;1970;mathematics;chemistry;management;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
716;Fritz Conrad;T_BEL_Fritz_Conrad;3;1930;1948;naval_engineering;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
717;Georges Timmermans;T_BEL_Georges_Timmermans;4;1946;1970;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
718;Fritz Löb;T_BEL_Fritz_Loeb;3;1936;1960;fighter_tactics;bomber_tactics;centralized_execution;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
719;Rodolphe de Hemricourt de Grunne;T_BEL_Rodolphe_deGrunne;4;1942;1970;fighter_tactics;decentralized_execution;piloting;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
720;Lambert Chardome;T_BEL_Lambert_Chardome;4;1930;1950;small_unit_tactics;decentralized_execution;infantry_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
721;Lucien Lippert;T_BEL_Lucien_Lippert;4;1940;1970;large_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
722;Ecole Royale Militaire;T_BEL_Ecole_Royale_Militaire;4;1930;1970;centralized_execution;infantry_focus;combined_arms_focus;piloting;naval_training;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
