EAF;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
9000100;Far East Aviation Company Ltd.;T_EAF_Far_East_Aviation_Company;3;1930;1970;aeronautics;fighter_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000101;Mawei Naval Aircraft Engineering Dept.;T_EAF_Mawei_Shipping_Bureau;3;1916;1970;aeronautics;fighter_design;mechanics;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000102;Wang Zhu;T_EAF_Wang_Zhu;4;1936;1965;aeronautics;fighter_design;bomber_design;aircraft_testing;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000103;China Shipbuilding Machinery Co.;100751;3;1926;1952;naval_engineering;naval_artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000104;Molleis Shipbuilding & Engineering Works;kaiserreich TNingbo;3;1928;1952;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000105;Hong Kong & Whampoa Dock;T_EAF_Whampoa_Dock;3;1866;1970;naval_engineering;naval_artillery;mechanics;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000106;Mawei Naval Academy;T_EAF_Mawei_Naval_Academy;3;1913;1970;naval_engineering;naval_artillery;submarine_design;mechanics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000107;Jiangnan Shipyard;100772;4;1905;1970;naval_engineering;naval_artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000108;Hudong-Zhonghua Shipbuilding;T_EAF_Hudong-Zhonghua_Shipbuilding;6;1952;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000109;Shanghai Arsenal;kaiserreich Tshanghaiarsenal;4;1865;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000110;Green Island Cement;T_EAF_Green_Island_Cement;4;1898;1970;mechanics;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000111;Asiatic Petroleum Company;T_EAF_Asiatic_Petroleum_Company;4;1903;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
