FLA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4200;Cockerill;T700;6;1930;1970;naval_engineering;technical_efficiency;general_equipment;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4201;Fairey;T701;6;1930;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4202;Gevaert;T703;6;1930;1970;chemistry;general_equipment;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4203;Renault;T705;5;1930;1970;mechanics;industrial_engineering;management;munitions;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4204;Solvay;T706;7;1930;1970;chemistry;industrial_engineering;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4205;Vickers-Armstrong;T707;8;1930;1970;mechanics;aeronautics;technical_efficiency;artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4206;La Brugeoise;T713;5;1930;1970;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4207;Konrad Schellong;T4207;5;1940;1970;combined_arms_focus;decentralized_execution;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4208;Jef François;T4208;3;1930;1970;combined_arms_focus;centralized_execution;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4209;Ernst Junkermann;T4209;3;1940;1970;naval_training;submarine_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4210;Eggert Reeder;T4210;3;1940;1970;aircraft_testing;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
