U09;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3400;Puerto de San Juan;San_Juan_Port_TT;2;1930;1970;naval_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3401;PRNG Armory;T_U09_PRNG_Armory;3;1930;1970;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3402;Puerto Rico Iron Works;T_U09_PRIW;3;1930;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3403;Ponce Cement;T_U09_Ponce_Cement;3;1940;1970;chemistry;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3404;Luis Alberto Ferré;T_U09_Luis_Alberto_Ferre;4;1941;1970;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3405;Universidad de Puerto Rico;Universidad_de_Puerto_Rico;2;1930;1970;mathematics;chemistry;training;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3406;Félix Rigau Carrera;T_U09_Felix_Carrera;3;1930;1955;fighter_tactics;piloting;mechanics;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3407;Edmund E. García;T_U09_Edmund_Garcia;3;1939;1970;naval_artillery;carrier_tactics;naval_training;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3408;José M. Cabanillas;T_U09_Jose_Cabanillas;4;1936;1965;small_taskforce_tactics;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3409;Horacio Rivero Jr.;T_U09_Horacio_Rivero;5;1945;1970;electronics;large_taskforce_tactics;centralized_execution;naval_training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3410;Camp Las Casas;T_U09_Camp_Las_Casas;3;1930;1970;small_unit_tactics;individual_courage;infantry_focus;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3411;Juan César Cordero Dávila;T_U09_Juan_Cordero_Davila;3;1944;1970;large_unit_tactics;individual_courage;infantry_focus;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3412;Pedro Augusto del Valle;T99053;4;1936;1960;small_unit_tactics;marine_training;naval_engineering;general_equipment;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
