U31;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x;
1119101;Automobilwerke Leipziger;KMautomobilwerkleipziger;7;1930;1970;mechanics;artillery;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
1119102;Badische Farbenwerke;T3;7;1930;1970;chemistry;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
1119103;Bayerische Flugzeugwerke;KMBFWerke;8;1930;1970;aeronautics;rocketry;fighter_design;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
1119104;Berliner Flugzeugwerke;KMBerlinFZW;5;1930;1970;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
1119105;Deutsch Mineralöl Gemeinschaft;Imperial Oil;8;1930;1970;general_equipment;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1119106;Elektro-Fabrikant Munchen;KMMunchenelektrofabrik;6;1930;1970;electronics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
1119107;Essen Stahlwerke;KMessenstahlwerke;8;1930;1970;industrial_engineering;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
1119108;Flugzeugbau der Schiffswerft Hamburg;T1;5;1930;1970;naval_engineering;carrier_design;naval_artillery;technical_efficiency;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
1119109;Kiel Schiffswerft;kaiserreich_T7;6;1930;1970;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
1119110;Oberndorf Gewehrfabrik;KMOberndorf;6;1930;1970;general_equipment;mechanics;training;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
1119111;Rheinische Maschinenfabrik;T13;6;1930;1970;artillery;mechanics;training;chemistry;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
1119112;Rüsselsheim Motoren Werke;T203;5;1930;1970;mechanics;management;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
1119113;Schlinke Elektrotechnik;KMMunchenelektrofabrik;7;1930;1970;electronics;industrial_engineering;technical_efficiency;mathematics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1119114;Volkswagen;T1410;6;1930;1970;mechanics;industrial_engineering;technical_efficiency;management;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
1119115;Konrad Zuse;T5;7;1935;1970;mathematics;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
1119116;Heinz Guderian;T22;9;1930;1970;combined_arms_focus;small_unit_tactics;decentralized_execution;training;blitzkrieg_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
1119117;Wernher von Braun;T17;8;1932;1976;rocketry;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
1119118;Berlin Zentrumtechnischeakademie;KMzentrumtechnische;8;1930;1970;rocketry;chemistry;mathematics;nuclear_physics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1119119;Otto Strasser Werke;KMstrasserwerke;7;1930;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
1119120;Zeppelin Luftfahrttechnik;Zeppelin;7;1930;1970;technical_efficiency;bomber_design;aircraft_testing;aeronautics;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
1119121;Kurt Tank;KMkurttank;9;1930;1970;fighter_tactics;bomber_tactics;rocketry;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1119122;Wilhelm Ritter Von Leeb;KMvonleebTT;8;1930;1970;combined_arms_focus;small_unit_tactics;decentralized_execution;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
1119123;Erwin von Witzleben;Kaiserreich tech-Witzleben;6;1950;1970;infantry_focus;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
1119124;Deutsche Maschinenfabrik AG;KMdemag;7;1930;1970;chemistry;industrial_engineering;technical_efficiency;management;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
1119125;Konrad Patzig;T7014;6;1930;1970;seamanship;small_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
1119126;Alfred Bülowius;T7015;6;1930;1970;piloting;aircraft_testing;bomber_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
1119127;Josef Kammhuber;T7016;6;1930;1970;aircraft_testing;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
1119128;VEB Eisenacher Motorenwerke;T7100;3;1930;1970;mechanics;industrial_engineering;management;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
1119129;VEB Heinkel FZ Werke;KMVEBHeinkel;7;1930;1970;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
1119130;VEB Leuna Werke;T7103;7;1930;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
1119131;Willi Bredel;T7110;5;1930;1970;aircraft_testing;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
1119132;Rainer Stahel;T7105;5;1930;1970;small_unit_tactics;combined_arms_focus;training;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
