NIC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
5800;Bonanza Mining Company;T99066;3;1930;1970;industrial_engineering;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5801;United Fruit Company;T99067;2;1930;1947;industrial_engineering;management;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5802;United Fruit Company;T99067;3;1947;1970;industrial_engineering;management;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5803;Tropical Radiotelegraph Co.;T99062;3;1969;1970;mechanics;electronics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5804;Comisión de Canal de Panamá;T99054;4;1969;1970;naval_engineering;technical_efficiency;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5805;UNAPU;T99068;2;1930;1948;training;mathematics;technical_efficiency;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
5806;UNAPU;T99068;3;1948;1970;training;mathematics;technical_efficiency;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
5807;Facultad de San Jose de Medicina;T99069;2;1930;1970;medicine;chemistry;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5808;ENTA;T99070;2;1930;1970;aeronautics;piloting;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5809;TACA;T99063;3;1969;1970;aeronautics;bomber_design;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5810;Campo del Marte;T99071;2;1930;1970;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5811;Campo del Marte;T99071;3;1969;1970;general_equipment;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5812;Academia Militar de Provincias;T99072;2;1930;1944;infantry_focus;training;centralized_execution;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5813;Academia Militar de Provincias;T99072;3;1944;1970;infantry_focus;training;centralized_execution;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5814;Julian Larcombe Schley;T99073;4;1969;1970;training;small_unit_tactics;technical_efficiency;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5815;Academia Militar de Aviación;T99064;3;1969;1970;bomber_tactics;general_equipment;piloting;mechanics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5816;La Academia Militar Naval;T99074;2;1969;1970;seamanship;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5817;La Academia Militar Naval;T99074;3;1969;1970;seamanship;naval_training;centralized_execution;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
