MON;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6800;Mongolian Airforce;T1908;2;1936;1970;aeronautics;fighter_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6803;Ulan-Ude Aviation Plant;T13110;4;1939;1970;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6804;Central Munitions Production;T14705;3;1930;1970;artillery;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6805;Asiatic Cavalry Division;Asiatictech;4;1930;1970;artillery;general_equipment;training;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6806;Verkhneudinsk Locomotive Plant;T_SIB_Ulan-Ude_Locomotive;3;1936;1970;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6808;Nalayh Coal Mine;T6800;2;1930;1970;mechanics;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6809;Züün Bayan Petroleum Factory;T_MON_Zuun_Bayan_Petroleum;3;1930;1970;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6810;Chita Electromechanical Plant;T_SIB_Chita_Electromechanical;2;1939;1970;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6807;Mongol Rail Company;T6700;2;1969;1970;general_equipment;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6801;Mongol Transiberian Rail Company;T6700;3;1930;1970;general_equipment;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6811;Urga University;T14900;2;1930;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6812;Petr I. Bessonov;T_MON_Petr_Ivanovich_Bessonov;2;1930;1960;bomber_tactics;piloting;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6813;Valentin S. Veselovsky;T_MON_Valentin_Semenovich_Veselovsky;3;1930;1960;fighter_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6814;Mikhail G. Tornovsky;T_MON_Mikhail_Tornovsky;3;1930;1945;small_unit_tactics;decentralized_execution;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6815;Sukhe Bator Military Academy;T6802;3;1940;1970;centralized_execution;decentralized_execution;individual_courage;combined_arms_focus;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6802;Roman von Ungern-Sternberg;Kaiserreich tech Sternberg;4;1930;1950;large_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6816;Nikolai N. Kazagrandi;T_MON_Nikolai_Nikolaevich_Kazagrandi;4;1930;1952;small_unit_tactics;individual_courage;infantry_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6817;Ilya Baldynov;T_MON_Ilya_Vasilievich_Baldynov;6;1945;1969;small_unit_tactics;large_unit_tactics;infantry_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
