GRE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1500;KEA;T_GRE_KEA;3;1930;1970;aeronautics;fighter_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1501;GNAF;T1500;4;1930;1970;aeronautics;fighter_design;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1502;Ioannis Argyris ;T1517;4;1930;1970;aeronautics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1503;Royal Hellenic Naval Shipyard;T1502;4;1939;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1504;Basileiades;T_GRE_Basileiades;4;1930;1970;naval_engineering;naval_artillery;mechanics;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1505;Greek Powder and Cartridge Company;T1508;2;1874;1970;artillery;mechanics;chemistry;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1506;Artillery Ballistics School;T1506;3;1930;1960;artillery;mechanics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1507;Infantry Application School;T1505;4;1930;1960;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1508;Tangalakis-Temax Vehicle Manufacturer ;T1522;2;1925;1970;artillery;mechanics;electronics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1509;Chropei;T_GRE_Chropei;3;1930;1970;chemistry;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1510;TITAN;T_GRE_Titan;3;1930;1970;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1511;OASA;T1501;4;1930;1970;mechanics;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1512;SPAP;T1503;5;1930;1970;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1513;University of Athens;T_GRE_University_Athens;3;1837;1970;mathematics;chemistry;nuclear_physics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1514;National Metsovian Polytechnic;T_GRE_Metsovian_Polytechnic;3;1837;1970;mathematics;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1515;Georgios Papanikolaou;T_GRE_Georgios_Papanikolaou;5;1910;1960;medicine;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1516;Milton Iatrides;T_GRE_Milton_Iatrides;3;1937;1970;small_taskforce_tactics;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1517;Scholi Nautikon Dokimon;T1507;4;1900;1970;marine_training;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1518;Marinos Mitralexis;T_GRE_Marinos_Mitralexis;3;1937;1970;fighter_tactics;piloting;individual_courage;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1519;Hellenic Air Force Academy;T1514;4;1931;1970;fighter_tactics;bomber_tactics;decentralized_execution;piloting;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1520;Alexandros Papagos;T1504;3;1930;1960;small_unit_tactics;decentralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1521;Nikolaos Plastiras;T1516;4;1912;1953;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1522;Evelpidon Military Academy;T_GRE_Evelpidon;4;1828;1970;large_unit_tactics;small_unit_tactics;individual_courage;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
