ISR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
11600;Hebrew University of Jerusalem;T11600;5;1930;1970;management;chemistry;mechanics;mathematics;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11601;Israel Aircraft Industries;T11601;7;1930;1970;aeronautics;fighter_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11602;Israel Military Industries;T11602;7;1930;1970;mechanics;artillery;general_equipment;rocketry;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11603;Tadiran Electronic Industries;T11603;5;1944;1970;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11604;Armaments Development Authority;T11604;6;1930;1970;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11605;Elbit Systems Ltd.;T11605;6;1944;1970;electronics;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11606;Moshe Dayan;T11606;7;1944;1970;decentralized_execution;small_unit_tactics;combined_arms_focus;centralized_execution;management;blitzkrieg_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11607;Yigael Yadin;T11607;5;1930;1970;centralized_execution;large_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11608;Moshe Krelitz;T11608;4;1930;1970;naval_training;small_taskforce_tactics;centralized_execution;seamanship;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11609;Haim Laskov;T11609;7;1930;1970;combined_arms_focus;piloting;aircraft_testing;bomber_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
