UPR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4500;Reparaturwerk Josef Jacobs;T_UPE_Reparaturwerk_Erfurt;4;1936;1970;aeronautics;fighter_design;general_equipment;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4501;Dornier Ostasien;T_GER_Dornier;5;1936;1970;aeronautics;fighter_design;bomber_design;mechanics;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4502;Gerhard Neumann;T_UPE_Gerhard_Neumann;6;1946;1970;aeronautics;mechanics;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4503;Hellmuth Walter;T_UPE_Hellmuth_Walter;5;1939;1970;aeronautics;rocketry;naval_engineering;submarine_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4504;Norddeutscher Lloyd;T_UPE_Norddeutscher_Lloyd;5;1885;1970;naval_engineering;general_equipment;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4505;Germaniawerft Singapur;T_SIA_Sembawang_Dockyard;5;1936;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4506;Rheinmetall Singapur;T13;5;1936;1970;artillery;mechanics;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4507;Auto Union Ostasien;T_UPE_Auto_Union;4;1936;1970;mechanics;general_equipment;training;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4508;Krupp Ostasien;T_GER_Krupp;5;1936;1970;artillery;mechanics;munitions;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4509;Borneo Company Limited;T_UPE_Borneo_Company_Ltd;4;1856;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4510;Telefunken Ostasien;T_GER_Telefunken;4;1936;1970;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4511;Dynamit Nobel Ostasien;T9996;5;1936;1970;chemistry;munitions;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4512;Hans Hollmann;T_UPE_Hans_Erich_Hollmann;5;1933;1970;mechanics;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4513;Société Le Nickel;T_UPE_Societe_Le_Nickel;5;1880;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4514;Straits Trading Company;T_UPE_Straits_Trading_Company;5;1887;1970;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4515;Siemens Ostasien;T14;5;1908;1970;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4516;Boustead & Co.;T_UPE_Boustead;6;1828;1970;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4517;Von Tirpitz Universität Singapur;T_UPE_University_of_Malaya;4;1905;1970;mathematics;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4518;Emil Greul;T_UPE_Emil_Greul;4;1939;1970;centralized_execution;medicine;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4519;Erich Hüttenhain;T_UPE_Erich_Huttenhain;5;1937;1970;mathematics;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4520;Friedrich von Arnauld de la Periére;T_UPE_Friedrich_von_Arnauld;5;1936;1953;aircraft_testing;large_taskforce_tactics;carrier_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
