KYG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
11700;Tashkent Aviation Association;T14200;2;1932;1970;aeronautics;fighter_design;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11701;Turkestan Aviation Company;T14200;3;1969;1970;aeronautics;fighter_design;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11702;Tashkent Arsenal;T9800;3;1936;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11703;Tashkent Railway Workshops;T_KYG_Uztemiryulmashtamir;3;1900;1970;mechanics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11704;Alim Truck Company;KYG_altrcmp;3;1969;1970;combined_arms_focus;general_equipment;training;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11705;Kusein Kölbaev;T_KAZ_Kusain_Kolbaev;4;1939;1970;mechanics;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11706;Trans-Caspian Railway;KYG_TRANSCASPIAN;3;1906;1970;general_equipment;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11707;Turkmenbashi Oil Refinery;T2901;4;1942;1970;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11708;Central Asian Railway;KYG_TRANSCASPIAN;4;1969;1970;general_equipment;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11709;Alma-ata Heavy Engineering Plant;T_KAZ_Almaty_Heavy_Engineering;4;1941;1970;mechanics;electronics;munitions;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11710;Balkhash Mining & Metallurgical Combine;T_KAZ_Balkhashtsvetmet;4;1938;1970;mechanics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11711;Tashkent State Technical University;T_KYG_TSTU;3;1920;1970;mechanics;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11712;Turkestan State University;T14201;3;1918;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11713;Georgiy Rybin;T_KAZ_Georgy_Nikolaevich_Rybin;3;1936;1966;small_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11714;Talgat Begeldinov;T_KAZ_Talgat_Bigeldinov;3;1942;1970;fighter_tactics;bomber_tactics;piloting;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11715;Abdusamat Taymetov;T_KYG_Abdusamat_Taymetov;4;1936;1970;piloting;centralized_execution;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11716;Viktor Kanarov;T_KYG_Viktor_Pavlovich_Kanarev;4;1940;1966;bomber_tactics;decentralized_execution;piloting;aircraft_testing;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11717;Shermuhammadbek;T_KYG_Shir_Muhammad-bek;4;1920;1946;large_unit_tactics;centralized_execution;individual_courage;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11718;Shakir Zheksenbayev;T_KAZ_Shakir_Dzheksenbaev;4;1944;1966;small_unit_tactics;chemistry;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11719;Turkestan Combined Arms School;T_KYG_Tashkent_Higher_Command_School;4;1918;1970;centralized_execution;infantry_focus;combined_arms_focus;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11720;Sobir Rahimov;T_KYG_Sabir_Umarovich_Rakhimov;5;1946;1967;large_unit_tactics;individual_courage;infantry_focus;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11721;Yakov Melkumov;T_KYG_Yakov_Arkadievich_Melkumov;4;1928;1950;mountain_training;small_unit_tactics;decentralized_execution;cavalry_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11722;Haydar Hamidov;T_KYG_Khaidar_Khamidov;4;1950;1970;mountain_training;small_unit_tactics;decentralized_execution;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
