BUR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
10000;Rangoon University;T10000;2;1930;1970;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10001;Burma Railways;T10001;3;1930;1970;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10002;Sao Kawng Kiao Intaleng;Kawtech;3;1930;1970;centralized_execution;large_unit_tactics;combined_arms_focus;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10003;Saya San;Sayatech;4;1930;1970;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10004;Ne Win;T10004;4;1950;1970;small_unit_tactics;infantry_focus;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10005;Sao Shwe Thaik;Thaiktech;3;1930;1970;small_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10006;Anglo-Burmese Airways;Abatech;3;1930;1970;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10007;Hmu Aung;Hhmutech;4;1930;1970;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10008;Burmah Oil Company;Burmahtech;5;1930;1970;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10009;Irrawaddy Flotilla Company;Irrawaddytech;2;1930;1970;naval_engineering;naval_artillery;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10010;Burma Sugar Factory;Burmasugartech;3;1930;1970;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10011;The Burma Rifles;Burmariflestech;3;1890;1970;artillery;mountain_training;small_unit_tactics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
