KAZ;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
15400;Alma-ata Aircraft Workshops;T14200;3;1936;1970;aeronautics;fighter_design;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15401;Alma-ata Arsenal;T9800;3;1936;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15402;Kusein Kölbaev;T_KAZ_Kusain_Kolbaev;4;1939;1970;mechanics;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15403;Alma-ata Heavy Engineering Plant;T_KAZ_Almaty_Heavy_Engineering;4;1941;1970;mechanics;electronics;munitions;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15404;Balkhash Mining & Metallurgical Combine;T_KAZ_Balkhashtsvetmet;4;1938;1970;mechanics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15405;Atyrau Oil Refinery;T2901;4;1943;1970;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15406;Kazakh State University;T11701;3;1934;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15407;Georgiy Rybin;T_KAZ_Georgy_Nikolaevich_Rybin;3;1936;1966;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15408;Talgat Begeldinov;T_KAZ_Talgat_Bigeldinov;3;1942;1970;fighter_tactics;bomber_tactics;piloting;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15409;Alexandr Dutov;T_KAZ_Alexander_Dutov;4;1919;1944;large_unit_tactics;centralized_execution;cavalry_tactics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15410;Shakir Zheksenbayev;T_KAZ_Shakir_Dzheksenbaev;4;1944;1966;small_unit_tactics;chemistry;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15411;Bauyrzhan Momyshuly;T_KAZ_Bauyrzhan_Momyshuly;4;1948;1970;small_unit_tactics;decentralized_execution;infantry_focus;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
