U42;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
98300;Ratmalana Airport;Ratmalana_Airport_T;2;1938;1970;aeronautics;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98301;Trincomalee Dockyard;T_U42_Trincomalee_Dockyard;3;1920;1970;naval_engineering;naval_artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98302;Ceylon Government Railway;T98300;3;1930;1970;mechanics;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98303;Richard Pieris & Company;T_U42_ARPICO;3;1932;1970;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98304;CEME;T_U42_Ceylon_Electrical_Mechanical_Engineers;3;1949;1970;mechanics;electronics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98305;B.D. Rampala;T_U42_BD_Rampala;3;1949;1970;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98306;Seneka Bibile;Seneka_Bibile_T;4;1945;1970;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98307;Ceylon University College;T98305;2;1921;1942;mathematics;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98308;University of Colombo;T98305;3;1942;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98309;Augustus Agar;Augustus_Agar_T;3;1930;1955;naval_artillery;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98310;Rajan Kadiragamar;T_U42_Rajan_Kadiragamar;3;1955;1970;naval_engineering;small_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98311;Graham Bladon;Graham_Bladon_T;3;1936;1951;fighter_tactics;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98312;Rohan Amerasekera;T_U4_Rohan_Amerasekera;4;1951;1970;bomber_tactics;decentralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98313;Roy Gilbert Dutton;T_U42_Roy_Gilbert_Dutton;4;1951;1970;fighter_tactics;individual_courage;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98314;John Lionel Kotelawala;T_U42_John_Lionel_Kotelawala;3;1936;1949;centralized_execution;individual_courage;infantry_focus;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98315;Ceylon Defence Force;T98302;3;1930;1970;small_unit_tactics;infantry_focus;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98316;Anton Muttukumaru;T_U42_Anton_Muttukumaru;4;1949;1970;large_unit_tactics;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98317;Sepala Attygalle;T_U42_Sepala_Attygalle;4;1952;1970;small_unit_tactics;combined_arms_focus;maneuver_tactics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
