DOM;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6700;South Puerto Rico Sugar Co.;T99029;2;1930;1970;industrial_engineering;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6701;Rio Haina C. por A.;T99030;3;1942;1970;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6702;UASD;T99031;2;1930;1970;training;management;mechanics;medicine;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6703;Armeria San Cristóbal F.A.;T_DOM_Armeria_San_Cristobal;4;1930;1970;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6704;Astilleros Dominicanos-Ingalls;T99033;2;1930;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6705;Astilleros Dominicanos-Ingalls;T99033;3;1969;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6706;Rafael Leónidas Trujillo;T99034;2;1930;1970;centralized_execution;infantry_focus;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6710;Escuela Militar de San Isidro;Z_T_DOM_MIL;2;1937;1970;training;general_equipment;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6709;Compañia de Aviación;Z_T_DOM_AIRFORCE;2;1942;1970;aeronautics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6708;Academia Naval de Sans Soucci;T99035;2;1930;1970;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
