LBY;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
15500;Libyan Ministry of Defence;T15500;2;1930;1970;mechanics;artillery;vehicle_engineering;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15505;Opel Ost;T11;4;1930;1970;mechanics;vehicle_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15507;Port of Benghazi;T_EST_Russo-Baltic_Shipyard;3;1930;1970;naval_engineering;technical_efficiency;naval_artillery;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15501;National Military Academy;T10401;2;1930;1970;centralized_execution;small_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15506;Libyan Airlines;T2000;2;1970;1970;fighter_design;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15502;Umma Bank;OTT_Tech_Zeytinburnu;2;1930;1970;training;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15503;Foreign Oil Concerns;T6100;2;1930;1956;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15504;Waha Oil Company;T6100;3;1956;1970;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15508;University of Libya;LBY_TT_UniversityofLibya;4;1970;1970;medicine;training;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15509;University of Tripolitania;LBY_TT_UniversityofLibya;4;1970;1970;medicine;training;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
