EST;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1200;Voldemar Post;T_EST_Voldemar_Post;3;1936;1970;aeronautics;fighter_design;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1201;Aviotehas;T1201;4;1930;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1202;Noblessneri Laevatehas;T_EST_Noblessner;3;1930;1970;naval_engineering;naval_artillery;submarine_design;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1203;Vene-Balti Laevaehitustehas ;T_EST_Russo-Baltic_Shipyard;4;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1204;Tallinna Arsenal;T2001;4;1930;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205;AS Franz Krull;T_EST_Franz_Krull;3;1930;1970;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1206;Eesti Dvigatel AS;T_EST_Eesti_Dvigatel;3;1936;1970;aeronautics;mechanics;general_equipment;aircraft_testing;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1207;Paul Kogerman;T_EST_Kogerman;4;1930;1952;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1208;Eesti Kivioli;T1200;4;1930;1970;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1209;Raadio-Elektroonika Tehas;T_EST_REF;4;1930;1970;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1210;Eesti Energia;T_EST_Eenergia;5;1939;1970;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1211;Karl Papello;T_EST_Papello;5;1936;1958;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1212;Tallinna Tehnikaulikool;T_EST_Tallinn_University;3;1930;1970;mechanics;electronics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1213;Ernst Opik;T1204;5;1930;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1214;Tartu Ulikool;Kaiserreich Dorpat;5;1930;1970;mathematics;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1215;Merevae Staap;T_EST_Merevaestaap;2;1930;1970;small_taskforce_tactics;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1216;Johannes Herm;T_EST_Johannes_Herm;3;1930;1948;small_taskforce_tactics;centralized_execution;naval_training;seamanship;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1217;Johannes Santpank;T_EST_Johannes_Santpank;3;1948;1967;naval_engineering;centralized_execution;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1218;Sõjaväe Ühendatud Õppeasutused;T_EST_Joint_Military_Institutions;3;1930;1970;individual_courage;infantry_focus;piloting;artillery;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1219;Richard Tomberg;T_EST_Richard_Tomberg;3;1936;1963;fighter_tactics;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1220;Evald Mardo;T_EST_Evald_Mardo;4;1946;1970;fighter_tactics;bomber_tactics;piloting;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1221;Voldemar Rieberg;T_EST_Voldemar_Rieberg;3;1930;1948;centralized_execution;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1222;Paul Maitla;T_EST_Paul_Maitla;3;1948;1970;small_unit_tactics;chemistry;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1223;Johannes Remmel;T_EST_Johannes_Remmel;3;1936;1947;decentralized_execution;combined_arms_focus;maneuver_tactics;blitzkrieg_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1224;Herbert Brede;T_EST_Herbert_Brede;4;1936;1953;small_unit_tactics;centralized_execution;decentralized_execution;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1225;Johan Laidoner;T1203;4;1930;1948;small_unit_tactics;large_unit_tactics;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1226;Alfons Rebane;T_EST_Alfons_Rebane;4;1947;1970;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1227;Lembit Pärn;T_EST_Lembit_Parn;4;1948;1970;large_unit_tactics;centralized_execution;infantry_focus;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
