ARG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
400;FMA;T406;4;1930;1943;aeronautics;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
401;CAC;T403;4;1930;1943;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
402;Instituto Aerotécnico;T_ARG_Aerotecnico;5;1943;1970;aeronautics;fighter_design;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
403;FAdeA;T_ARG_FAdeA;6;1943;1970;aeronautics;fighter_design;bomber_design;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
404;Kurt Tank;T420;6;1947;1955;aeronautics;fighter_design;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
405;Arsenal Naval Buenos Aires;T_ARG_Arsenal_BA;4;1922;1941;naval_engineering;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
406;Arsenal Naval Buenos Aires;T_ARG_Arsenal_BA;5;1941;1970;naval_engineering;submarine_design;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
407;Sociedad Colectiva Hansen y Puccini;T_ARG_ASTARSA;3;1927;1942;naval_engineering;naval_artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
408;AFNE;T400;4;1879;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
409;ASTARSA;T_ARG_ASTARSA;5;1942;1970;naval_engineering;naval_artillery;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
410;Juan Pistarini;T_ARG_Juan_Pistarini;5;1930;1952;general_equipment;training;management;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
411;Fábrica Militar de Pólvoras y Explosivos Villa María;T417;5;1937;1970;artillery;general_equipment;chemistry;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
412;Esteban de Luca;T404;5;1930;1943;artillery;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
413;Arsenal Esteban de Luca;T404;5;1943;1970;artillery;mechanics;general_equipment;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
414;Fabricaciones Militares;T405;5;1941;1970;artillery;mechanics;electronics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415;SOMISA;T416;6;1947;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
416;Alfredo Baisi;T419;6;1943;1948;artillery;mechanics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
417;Compañia Ferroviaria de Buenos Aires;T402;4;1930;1970;mechanics;electronics;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
418;Hispano-Argentina;T_ARG_HispanoArgentina;4;1925;1960;mechanics;general_equipment;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
419;YPF;T407;5;1930;1970;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
