SWE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3200;Hägglund & Söner;T_SWE_Hagglund&Soner;4;1930;1970;aeronautics;fighter_design;mechanics;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3201;AB Enoch Thulins Aeroplansfabrik;T_SWE_Thulins_Aeroplansfabrik;6;1914;1970;aeronautics;mechanics;aircraft_testing;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3202;Svenska Aeroplan AB;T_SWE_SAAB;6;1930;1943;aeronautics;fighter_design;bomber_design;mechanics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3203;Svenska Aeroplan AB;T_SWE_SAAB;7;1943;1970;aeronautics;fighter_design;bomber_design;rocketry;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3204;Götaverken;T3202;5;1930;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3205;Kockums AB;T_SWE_Kockums;5;1890;1970;naval_engineering;naval_artillery;submarine_design;mechanics;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3206;Karlskrona Naval Yard;T3204;6;1930;1970;naval_engineering;naval_artillery;technical_efficiency;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3207;Husqvarna;T3203;5;1930;1970;artillery;mechanics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3208;Bofors AB;T3201;7;1930;1970;artillery;mechanics;chemistry;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3209;Landsverk AB;T3206;6;1930;1970;artillery;mechanics;munitions;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3210;Saab Automobile;T3208;5;1945;1970;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3211;Scania-Vabis;T3209;6;1930;1970;mechanics;electronics;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3212;Volvo;T3210;6;1930;1970;mechanics;general_equipment;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3213;LM Ericsson;T3207;7;1930;1970;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3214;SKF;T_SWE_SKF;7;1907;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3215;Astra AB;T_SWE_Astra;5;1930;1970;medicine;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3216;Kungliga Tekniska högskolan;T_SWE_KungligaTekniskaHogskolan;5;1930;1970;mechanics;electronics;chemistry;nuclear_physics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3217;The Svedberg;T3213;6;1930;1970;mathematics;nuclear_physics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3218;Manne Siegbahn;T3217;6;1930;1970;mathematics;electronics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3219;Arne Beurling;T3200;7;1930;1970;mathematics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3220;Försvarets forskningsanstalt;T_SWE_FOA;5;1941;1970;rocketry;chemistry;large_unit_tactics;combined_arms_focus;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3221;Charles de Champs;T3215;5;1930;1939;large_taskforce_tactics;centralized_execution;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3222;Gösta Ehrensvärd;T3216;5;1939;1960;small_taskforce_tactics;centralized_execution;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3223;Bengt Nordenskiöld;T3211;5;1930;1970;bomber_tactics;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3224;Torsten Rapp;T3219;5;1944;1970;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3225;Flygtekniska försöksanstalten;T_SWE_FFA;5;1940;1963;fighter_tactics;bomber_tactics;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3226;Olof Thörnell;T3214;5;1930;1944;large_unit_tactics;centralized_execution;infantry_focus;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3227;Nils Swedlund;T3218;5;1946;1961;large_unit_tactics;centralized_execution;infantry_focus;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3228;Helge Jung;T3212;5;1930;1951;mountain_training;small_unit_tactics;decentralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
