RUS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7200;Central Research Institute of Shipbuilding Technology;T11003;6;1930;1970;naval_engineering;naval_artillery;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7202;Igor V. Kurchatov;T3704;3;1930;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7203;Opytno-Konstruktorskie Byuro Ilyushina;T3709;5;1930;1970;aeronautics;fighter_design;aircraft_testing;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7204;Tsaritsinsky Mashinostroitelnyy Zavod;T7204;5;1930;1970;general_equipment;rocketry;electronics;industrial_engineering;mechanics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7207;Opytno-Konstruktorskie Byuro Mikulina;T7207;5;1944;1970;aeronautics;mechanics;rocketry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7208;Nevskoye Design Bureau;T3711;4;1930;1970;naval_engineering;technical_efficiency;naval_artillery;submarine_design;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7209;CKB Rubin;T7209;5;1930;1970;naval_engineering;naval_artillery;technical_efficiency;electronics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7210;Sergei P. Korolev;T3703;4;1930;1970;rocketry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7213;Vasily A. Degtyarev;T7213;6;1930;1970;general_equipment;artillery;chemistry;mechanics;technical_efficiency;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7214;General Staff Academy;Tgeneralstaffacademy;4;1930;1970;centralized_execution;decentralized_execution;large_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7215;Sankt Petersburg Naval Academy;T10402;5;1930;1970;naval_artillery;seamanship;submarine_tactics;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7216;Central Factory Committee;T10504;6;1960;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7217;Tsaritsinskiy Traktor Zavod;T8003;6;1960;1970;mechanics;chemistry;management;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7218;Rossiya Oruzhonnyi Zavod;t3812;6;1960;1970;mechanics;artillery;general_equipment;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7219;Alexandr Kazakov;KazakovTT;6;1930;1970;aircraft_testing;piloting;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7220;Kompaniya Transsibirskoy Magistrali;T13005;6;1960;1970;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7221;Amurskiy Verf;T12700;4;1960;1970;naval_engineering;naval_artillery;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7222;Primorsk Shipping Corporation;T12704;3;1960;1970;naval_engineering;naval_artillery;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7223;Vladivostok Naval Cadet School;T10402;4;1960;1970;decentralized_execution;small_taskforce_tactics;carrier_tactics;submarine_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7224;Chernomorsky Verf;T14004;6;1960;1970;naval_engineering;naval_artillery;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7225;Odessa Maritime Academy;T14011;4;1960;1970;naval_training;seamanship;submarine_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7226;Sergei L. Markov;Tmarkov;6;1960;1970;combined_arms_focus;small_unit_tactics;technical_efficiency;decentralized_execution;blitzkrieg_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7227;Anton I. Denikin;TDenikin;5;1960;1970;combined_arms_focus;large_unit_tactics;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7228;Pyotr N. Wrangel;TWrangel;5;1960;1970;infantry_focus;large_unit_tactics;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7229;Pavel N. Shatilov;Shatilovtechteam;5;1960;1970;infantry_focus;small_unit_tactics;individual_courage;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7230;Alexander Prokofiev-Seversky;T7230;7;1936;1970;aeronautics;munitions;aircraft_testing;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7231;Vladimir N. Galkovsky;T7231;6;1938;1970;mechanics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7232;Alexander A. Novikov;T3717;6;1940;1970;aircraft_testing;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7233;Avtomobilnoye Moskovskoye Obshchestvo;T7233;5;1936;1970;mechanics;technical_efficiency;management;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7234;Lavr G. Kornilov;T7234;4;1930;1939;large_unit_tactics;centralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7236;Vasily Kanin;KaninTT;6;1930;1970;naval_artillery;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7237;Vasily G. Grabin;T7237;5;1930;1970;mechanics;artillery;technical_efficiency;chemistry;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7238;Putilovskiy Zavod;T7238;6;1930;1970;mechanics;artillery;technical_efficiency;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7239;Fedor V. Tokarev;T7239;6;1930;1968;general_equipment;mechanics;management;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7240;Semyon A. Lavochkin;T7240;7;1930;1970;aeronautics;aircraft_testing;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
