BOL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
5009;Astilleros Nacional del Bolivia;T99103;2;1969;1970;naval_engineering;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5007;Escuela de Aplicación de Armas;T99102;3;1930;1942;general_equipment;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5008;Escuela de Aplicación de Armas;T99102;3;1942;1970;general_equipment;munitions;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5000;Antofagasta & Bolivia Railway Company;T99098;2;1930;1970;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5022;Banco Nacional de Bolivia;BOL_BCNB;4;1871;2000;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5023;YPFB;BOL_YPFB;4;1937;1970;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5001;Empressa Ferrocarril Nacional de Bolivia;T99098;2;1969;1970;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5004;SOBOCE;T99100;3;1943;1970;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5002;Patino Mines & Enterprises Consolidated;T99099;3;1930;1970;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5003;COMIBOL;T99099;3;1969;1970;mechanics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5005;Universidad Mayor de San Andres;T99101;2;1930;1939;mathematics;training;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5019;Escuela de Mecánica y de Navegación;T99109;3;1969;1970;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5014;Escuela Militar de Aviación;T99106;3;1930;1947;fighter_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5015;Escuela Militar de Aviación;T99106;4;1947;1970;fighter_tactics;centralized_execution;piloting;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5017;Walter Arze Rojas;T99108;3;1947;1970;fighter_tactics;aircraft_testing;electronics;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5021;Industrias de Aceite S.A;BOL_Industrias de Aceite;4;1944;1970;medicine;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5010;Supremo Academia de Guerra;T99104;3;1930;1944;large_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5013;Hugo Ballivián Rojas;T99105;3;1943;1970;centralized_execution;combined_arms_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5029;David Toro Ruilova;BOL_TT_David_Toro;4;1936;1970;individual_courage;cavalry_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5027;Cervecería Boliviana Nacional;BOL_Cervecería Boliviana Nacional;3;1877;1970;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5028;Jaime Escalante;BOL_Jaime Escalante;4;1955;1970;mathematics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5012;Supremo Academia de Guerra;T99104;4;1944;1970;centralized_execution;individual_courage;infantry_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5016;Bernardino Bilbao Rioja;T99107;4;1930;1970;decentralized_execution;combined_arms_focus;aeronautics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5024;Lloyd Aéreo Boliviano S.A.M.;BOL_Lloyd Aereo Boliviano SAM;3;1925;1945;fighter_design;avionics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5025;Lloyd Aéreo Boliviano S.A.M.;BOL_Lloyd Aereo Boliviano SAM;5;1945;1970;fighter_design;avionics;aeronautics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5026;Transporte Aéreo Militar;BOL_Transporte Aéreo Militar;4;1945;1970;bomber_design;avionics;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
