GUI;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
11200;Société Nationale des Chemins de Fer du Sénégal;T11200;2;1930;1970;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11201;Pierre Delsol;T11201;3;1930;1970;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11202;Jean Brasseur-Kermadec;T11202;2;1930;1970;large_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11203;Georges Bergé;T11203;3;1930;1970;fighter_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11204;Blue Sea Shipping Company;T3802;2;1930;1970;naval_engineering;mechanics;general_equipment;electronics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11205;Firestone Tire and Rubber Company;T26001;3;1930;1970;industrial_engineering;general_equipment;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11206;West African Gold Concessions;LIB_T_gold;2;1930;1970;industrial_engineering;general_equipment;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11207;Liberian Frontier Force;LIB_T_force;2;1930;1970;artillery;combined_arms_focus;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11208;Liberia College;LIB_T_uni;3;1930;1970;chemistry;management;mathematics;technical_efficiency;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11209;National Port Authority;LIB_T_port;2;1930;1970;naval_engineering;mechanics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
