U06;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
19901;Embry-Riddle Aeronautical University;embryriddle;5;1930;1970;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19900;Marietta Bomber;Z_T_TEX_MARIETTA;5;1943;1970;aeronautics;bomber_design;aircraft_testing;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19903;North American Aviation;T10307;6;1940;1970;aeronautics;fighter_design;munitions;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19904;McDonnell Aircraft;mcdonnell;7;1940;1970;aeronautics;fighter_design;munitions;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19902;Redstone Arsenal;redstone;6;1943;1970;rocketry;management;aeronautics;technical_efficiency;industrial_engineering;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19905;Remington Arms;remington;8;1930;1970;mechanics;artillery;general_equipment;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19906;Georgia Tech Research Institute;GTRI;7;1934;1970;chemistry;electronics;artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19907;American Gyrodyne;vertol;7;1946;1970;aeronautics;aircraft_testing;munitions;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19908;Mobile Naval Shipyard;T13803;6;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19909;Ingalls Shipbuilding;ingalls;7;1940;1970;naval_artillery;electronics;naval_engineering;submarine_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19910;Higgins Industries Inc.;T105;5;1941;1970;naval_engineering;mechanics;general_equipment;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19911;Louisiana State University;13802;5;1930;1970;mechanics;management;chemistry;mathematics;training;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19913;McWane Steel Corporation;T13802;5;1930;1970;general_equipment;management;industrial_engineering;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19912;Keller Motors Corporation;Z_T_TEX_KMC;5;1947;1970;mechanics;management;industrial_engineering;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19914;KYSO;kyso;6;1930;1970;chemistry;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19915;Southern Railway;T10511;5;1930;1970;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19916;Oak Ridge National Laboratory;T10509;6;1943;1970;nuclear_physics;chemistry;technical_efficiency;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19917;FMC Corporation;Z_T_FMC;6;1946;1970;mechanics;chemistry;industrial_engineering;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19939;FMC Corporation;Z_T_FMC;5;1940;1946;mechanics;industrial_engineering;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19918;Eckert–Mauchly Company;Eckert-Mauchly_TT;7;1945;1970;electronics;mathematics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19919;Quentin Roosevelt;roosevelt;5;1930;1943;fighter_tactics;piloting;decentralized_execution;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19932;Nathan B. Forrest III;Z_T_NBF;5;1943;1970;decentralized_execution;piloting;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19928;Claire Lee Chennault;t1007;5;1938;1949;fighter_tactics;piloting;training;combined_arms_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19920;Charles Lindbergh;13804;5;1930;1970;aircraft_testing;piloting;aeronautics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19926;Curtis LeMay;T122;5;1938;1965;training;management;centralized_execution;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19921;William Halsey;13801;6;1930;1947;naval_training;carrier_tactics;large_taskforce_tactics;seamanship;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19922;Robert English;Z_T_TEX_ENGLISH;5;1930;1947;naval_training;submarine_tactics;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19923;Thomas Moorer;moorer;6;1947;1970;naval_training;centralized_execution;carrier_tactics;large_taskforce_tactics;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19938;Roy Davenport;Z_T_TEX_DAVENPORT;5;1947;1970;naval_training;submarine_tactics;seamanship;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19927;George S. Patton;13800;8;1930;1960;combined_arms_focus;individual_courage;small_unit_tactics;decentralized_execution;blitzkrieg_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19922;Roy Geiger;rgeiger;7;1941;1947;combined_arms_focus;small_unit_tactics;bomber_tactics;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19924;Matthew Ridgway;ridgeway;8;1946;1970;combined_arms_focus;decentralized_execution;centralized_execution;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19937;Garrison H. Davidson;Z_T_TEX_DAVIDSON;6;1948;1970;infantry_focus;small_unit_tactics;static_defense_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19929;Marine Corps Base Pensacola;MOBCOM;6;1918;1970;marine_training;small_unit_tactics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
