UCH;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8900;Hengyang Aircraft Factory;T1000;2;1936;1970;aeronautics;fighter_design;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8901;Zhu Jiaren;T_UCH_Zhu_Jiaren;3;1937;1970;aeronautics;mechanics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8902;Li Daichen;T_UCH_Li_Daichen;4;1928;1960;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8903;Zhuzhou Artillery Bureau;T_CGX_Pajiang_Artillery_Factory;4;1938;1970;artillery;mechanics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8904;Zhuzhou Main Machinery Factory;T_UCH_Zhuzhou_Electric_Locomotive;3;1936;1949;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8905;Zhuzhou Electric Locomotive Factory;T_UCH_Zhuzhou_Electric_Locomotive;3;1949;1970;mechanics;electronics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8906;Xiangtan Electrical Factory;T_UCH_Xiangtan_Electric;2;1936;1949;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8907;Xiangtan Electrical Factory;T_UCH_Xiangtan_Electric;3;1949;1970;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8908;Shuikoushan Mining Bureau;T8304;4;1896;1970;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8909;Zeng Zhaolan;T_UCH_Zeng_Zhaolan;4;1937;1968;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8910;Hunan University;T_UCH_Hunan_University;3;1926;1970;mathematics;mechanics;chemistry;training;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8911;Yan Fuqing;T_UCH_Yan_Fuqing;4;1914;1951;medicine;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8912;Zhu Hengbi;T_UCH_Zhu_Hengbi;4;1951;1970;medicine;chemistry;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8913;Tang Yongzhen;T_UCH_Tang_Yongzhen;5;1935;1951;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8914;Lao Junzhan;T_UCH_Lao_Junzhan;5;1951;1970;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8915;Yang Xuancheng;T_UCH_Yang_Xuancheng;4;1920;1954;naval_engineering;small_taskforce_tactics;naval_training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8916;Luo Ji;T_UCH_Luo_Ji;3;1937;1968;fighter_tactics;bomber_tactics;piloting;combined_arms_focus;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8917;Fang Dingying;T_UCH_Fang_Dingying;4;1926;1949;large_unit_tactics;centralized_execution;infantry_focus;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8918;Tang Xing;T_UCH_Tang_Xing;4;1928;1950;small_unit_tactics;decentralized_execution;combined_arms_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8919;Peng Dehuai;T_UCH_Peng_Dehuai;5;1940;1963;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;large_unit_focus;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8920;Xiao Ke;T_UCH_Xiao_Ke;6;1950;1970;small_unit_tactics;large_unit_tactics;individual_courage;infantry_focus;static_defense_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8921;Su Yu;T_UCH_Su_Yu;7;1949;1970;small_unit_tactics;large_unit_tactics;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
