WLL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4300;Cockerill;T700;6;1930;1970;naval_engineering;technical_efficiency;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4301;FN Herstal;T702;5;1930;1970;mechanics;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4302;Renard;T704;4;1930;1970;aeronautics;avionics;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4303;Renault;T705;5;1930;1970;mechanics;industrial_engineering;management;munitions;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4304;Solvay;T706;7;1930;1970;chemistry;industrial_engineering;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4305;Fonderie Royale de Cannons;T711;5;1930;1970;artillery;mechanics;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4306;Forges de Clabecq;T712;6;1930;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4307;Union Minière;T714;7;1930;1970;industrial_engineering;management;chemistry;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4308;Jean Vermeire;T4308;3;1930;1970;combined_arms_focus;centralized_execution;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4309;Lucien Lippert;T4309;4;1940;1970;combined_arms_focus;centralized_execution;large_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4310;Lucien Lippert;T4309;3;1930;1970;aircraft_testing;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
