IDC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
14400;Hanoi Aerospace Company;T9800;2;1930;1970;aeronautics;aircraft_testing;bomber_design;fighter_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14401;Hanoi Arsenal;T9800;3;1930;1970;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14403;Vietnam Maritime University;T14403;4;1930;1970;naval_training;management;mechanics;naval_engineering;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14404;Vietnam Military Academy;T10401;3;1930;1970;centralized_execution;individual_courage;small_unit_tactics;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14405;Royal Khmer University;T10100;2;1945;1970;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14406;Kampot Docks;T3802;1;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14407;Phnom Penh Military Depot;T10401;3;1930;1970;artillery;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14408;National University of Laos;T11800;2;1930;1970;management;mechanics;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14409;Hanoi University of Technology;T14302;3;1930;1970;management;chemistry;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14410;Luang Phibunsongkhram;T9100;3;1930;1960;individual_courage;infantry_focus;centralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14411;Pridi Phanomyong;T9101;3;1930;1960;large_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14412;Luang Kajsongkram;T9102;4;1942;1960;bomber_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14413;Luang Sinthusongkhramchai;T9103;2;1930;1944;fighter_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14414;Bangkok Dockyard;T6;3;1930;1960;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14415;Bangkok Arsenal;T13;4;1930;1960;mechanics;artillery;training;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14416;Royal Aeronautical Services;T6401;4;1930;1960;aeronautics;artillery;mechanics;avionics;aircraft_testing
