DFR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7000;Blohm & Voss;T1;7;1930;1970;naval_engineering;naval_artillery;technical_efficiency;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7001;Konrad Zuse;T5;7;1930;1970;mathematics;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7002;Krupp;T7;9;1930;1970;industrial_engineering;mechanics;technical_efficiency;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7003;MAN;T8;8;1930;1970;mechanics;vehicle_engineering;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7004;Mauser Werke;T9;8;1930;1970;general_equipment;mechanics;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7005;Messerschmitt;T10;9;1930;1970;fighter_design;aeronautics;rocketry;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7006;Opel;T11;7;1930;1970;mechanics;management;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7007;Porsche;T12;9;1930;1970;mechanics;vehicle_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7008;Rheinmetall;T13;7;1930;1970;artillery;mechanics;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7009;Siemens;T14;8;1930;1970;electronics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7010;Volkswagen;T15;6;1930;1970;mechanics;vehicle_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7011;Werner Heisenberg;T16;7;1927;1976;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7012;Erich von Manstein;T20;8;1930;1970;combined_arms_focus;small_unit_tactics;decentralized_execution;training;blitzkrieg_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7013;Heinz Guderian;T22;9;1930;1970;combined_arms_focus;small_unit_tactics;decentralized_execution;training;blitzkrieg_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7014;Konrad Patzig;T7014;6;1930;1970;seamanship;small_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7015;Alfred Bülowius;T7015;6;1930;1970;piloting;aircraft_testing;bomber_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7016;Josef Kammhuber;T7016;6;1930;1970;aircraft_testing;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
