CRO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
31000;Ungarische-Kroatien Flugzeugfabrik;T3800;4;1918;1970;aeronautics;fighter_design;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31001;Rudolf Fizir;T_CRO_Rudolf_Fizir;4;1930;1960;aeronautics;fighter_design;mechanics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31002;Kvarnersko Shipyard;T_HUN_Fiumei_Hajogyar;4;1892;1970;naval_engineering;naval_artillery;submarine_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31003;Uljanik Shipyard;T_CRO_Uljanik_Shipyard;4;1856;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31004;Torpedo Fabrik Whitehead und Co.;T_URO_Whitehead_Torpedo_Factory;5;1875;1970;naval_engineering;naval_artillery;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31005;Miroslav Stumberger;T3819;3;1936;1958;rocketry;electronics;submarine_design;technical_efficiency;submarine_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31006;Zagreb Mechanical Workshops;T3812;3;1852;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31007;BNT-TMiH;T_BOS_BNT;4;1949;1970;artillery;mechanics;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31008;UNIS Pretis;T_BOS_Pretis;4;1948;1970;artillery;general_equipment;munitions;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31009;Croatian State Auto Company;T_CRO_Autokaroserija_Zagreb;4;1930;1970;mechanics;general_equipment;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31010;Machinery Factory Brod na Savi;T_CRO_TZV_Gredelj;4;1921;1970;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31011;Elektra;T_CRO_Koncar_Elektroindustrija;3;1921;1970;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31012;TRS;T_CRO_TRS;4;1948;1970;mathematics;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31013;Hrvatska Elektroprivreda;T_CRO_HEP;4;1895;1970;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
